label,symbol,strategy,strike_dist,hold_period,signal,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_iron_condor_weekly_BB_only_SD3.0_L3,BANKNIFTY,iron_condor,3.0,weekly,BB_only,3,52,75.0,-27479.55,-2.75,-0.95,0.75,4.86,83.92,7.06,78.85,3,-528.45,2124.13,-8486.19,4765.8,-30000.0,972520.45
BANKNIFTY_iron_condor_weekly_BB_only_SD3.0_L5,BANKNIFTY,iron_condor,3.0,weekly,BB_only,5,52,75.0,-6239.75,-0.62,-0.21,0.96,4.54,83.92,7.06,78.85,3,-120.0,3540.21,-11100.62,7943.0,-30000.0,993760.25
BANKNIFTY_iron_condor_weekly_Consensus3_SD1.5_L3,BANKNIFTY,iron_condor,1.5,weekly,Consensus3,3,37,67.57,3661.95,0.37,0.12,1.02,4.99,282.82,3.41,37.84,4,98.97,6008.0,-12211.5,11957.25,-22153.65,1003661.95
BANKNIFTY_iron_condor_weekly_Consensus3_SD1.5_L5,BANKNIFTY,iron_condor,1.5,weekly,Consensus3,5,37,67.57,16042.0,1.6,0.54,1.07,7.91,282.82,3.41,37.84,4,433.57,10013.33,-19524.27,19928.75,-30000.0,1016042.0
BANKNIFTY_iron_condor_weekly_Consensus3_SD2.0_L3,BANKNIFTY,iron_condor,2.0,weekly,Consensus3,3,37,67.57,6427.2,0.64,0.22,1.06,4.06,193.96,4.59,54.05,4,173.71,4818.11,-9502.12,9603.75,-23434.35,1006427.2
BANKNIFTY_iron_condor_weekly_Consensus3_SD2.0_L5,BANKNIFTY,iron_condor,2.0,weekly,Consensus3,5,37,67.57,19769.25,1.98,0.67,1.11,6.68,193.96,4.59,54.05,4,534.3,8030.18,-15082.1,16006.25,-30206.5,1019769.25
BANKNIFTY_iron_condor_weekly_Consensus3_SD2.5_L3,BANKNIFTY,iron_condor,2.5,weekly,Consensus3,3,37,70.27,3730.35,0.37,0.13,1.04,2.9,130.34,5.74,70.27,4,100.82,3433.26,-7775.86,6732.75,-26533.5,1003730.35
BANKNIFTY_iron_condor_weekly_Consensus3_SD2.5_L5,BANKNIFTY,iron_condor,2.5,weekly,Consensus3,5,37,70.27,20439.75,2.04,0.69,1.16,4.79,130.34,5.74,70.27,4,552.43,5722.11,-11666.82,11221.25,-30000.0,1020439.75
BANKNIFTY_iron_condor_weekly_Consensus3_SD3.0_L3,BANKNIFTY,iron_condor,3.0,weekly,Consensus3,3,37,70.27,-4876.35,-0.49,-0.17,0.92,2.13,83.2,6.91,83.78,4,-131.79,2052.01,-5293.5,4237.5,-20380.65,995123.65
BANKNIFTY_iron_condor_weekly_Consensus3_SD3.0_L5,BANKNIFTY,iron_condor,3.0,weekly,Consensus3,5,37,70.27,-4159.5,-0.42,-0.14,0.96,3.53,83.2,6.91,83.78,4,-112.42,3420.01,-8461.8,7062.5,-30000.0,995840.5
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD1.5_L3,BANKNIFTY,iron_condor,1.5,biweekly,BB+ATR,3,22,68.18,26229.9,2.62,0.87,1.31,2.69,406.73,3.35,4.55,2,1192.27,7401.66,-12113.57,15377.7,-22525.8,1026229.9
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD1.5_L5,BANKNIFTY,iron_condor,1.5,biweekly,BB+ATR,5,22,68.18,53209.0,5.32,1.76,1.4,3.64,406.73,3.35,4.55,2,2418.59,12336.1,-18833.21,25629.5,-30000.0,1053209.0
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD2.0_L3,BANKNIFTY,iron_condor,2.0,biweekly,BB+ATR,3,22,68.18,21487.35,2.15,0.72,1.25,2.7,325.18,4.49,27.27,2,976.7,7190.49,-12338.57,13657.35,-26212.65,1021487.35
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD2.0_L5,BANKNIFTY,iron_condor,2.0,biweekly,BB+ATR,5,22,68.18,51879.25,5.19,1.72,1.41,3.09,325.18,4.49,27.27,2,2358.15,11984.15,-18269.0,22762.25,-30000.0,1051879.25
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD2.5_L3,BANKNIFTY,iron_condor,2.5,biweekly,BB+ATR,3,22,68.18,19364.25,1.94,0.65,1.24,2.85,256.21,5.64,40.91,2,880.19,6675.54,-11538.41,11559.45,-29354.55,1019364.25
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD2.5_L5,BANKNIFTY,iron_condor,2.5,biweekly,BB+ATR,5,22,68.18,51198.0,5.12,1.69,1.44,2.86,256.21,5.64,40.91,2,2327.18,11125.9,-16527.21,19265.75,-30000.0,1051198.0
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD3.0_L3,BANKNIFTY,iron_condor,3.0,biweekly,BB+ATR,3,22,72.73,15101.25,1.51,0.51,1.21,2.87,198.46,6.75,59.09,1,686.42,5415.32,-11923.98,9678.45,-30000.0,1015101.25
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD3.0_L5,BANKNIFTY,iron_condor,3.0,biweekly,BB+ATR,5,22,72.73,45168.75,4.52,1.5,1.46,2.96,198.46,6.75,59.09,1,2053.12,9025.53,-16539.96,16130.75,-30381.25,1045168.75
