symbol,timeframe,signal,category,zone_width_atr,hold_period,zone_hold_rate,avg_zone_duration,avg_break_magnitude,max_break_magnitude,signal_frequency,total_signals,total_bars,score
NIFTY50,daily,HV_LOW_10,volatility,1.5,15,2.15,3.8,2.23,9.32,44.32,328,740,0.3472
NIFTY50,daily,HV_LOW_10,volatility,1.5,20,0.31,3.87,2.66,9.23,44.32,328,740,0.3107
NIFTY50,daily,HV_LOW_10,volatility,2.0,1,98.17,0.98,0.7,1.73,44.32,328,740,0.9383
NIFTY50,daily,HV_LOW_10,volatility,2.0,3,74.09,2.59,0.66,2.72,44.32,328,740,0.8197
NIFTY50,daily,HV_LOW_10,volatility,2.0,5,54.88,3.76,1.01,5.04,44.32,328,740,0.7069
NIFTY50,daily,HV_LOW_10,volatility,2.0,7,40.55,4.64,1.2,5.29,44.32,328,740,0.6239
NIFTY50,daily,HV_LOW_10,volatility,2.0,10,23.17,5.51,1.47,7.4,44.32,328,740,0.5212
NIFTY50,daily,HV_LOW_10,volatility,2.0,15,9.54,6.26,1.93,8.85,44.32,328,740,0.4217
NIFTY50,daily,HV_LOW_10,volatility,2.0,20,5.94,6.65,2.34,8.61,44.32,328,740,0.3739
NIFTY50,daily,HV_LOW_10,volatility,2.5,1,98.48,0.98,0.41,1.19,44.32,328,740,0.9518
NIFTY50,daily,HV_LOW_10,volatility,2.5,3,85.98,2.78,0.66,2.23,44.32,328,740,0.8803
NIFTY50,daily,HV_LOW_10,volatility,2.5,5,68.6,4.23,0.94,4.55,44.32,328,740,0.7833
NIFTY50,daily,HV_LOW_10,volatility,2.5,7,56.71,5.41,1.14,4.78,44.32,328,740,0.7133
NIFTY50,daily,HV_LOW_10,volatility,2.5,10,40.85,6.8,1.4,6.91,44.32,328,740,0.6207
NIFTY50,daily,HV_LOW_10,volatility,2.5,15,23.69,8.32,1.79,8.38,44.32,328,740,0.5115
NIFTY50,daily,HV_LOW_10,volatility,2.5,20,12.81,9.2,2.05,7.99,44.32,328,740,0.4386
NIFTY50,daily,HV_LOW_20,volatility,1.0,1,68.06,0.68,0.41,2.82,45.27,335,740,0.7731
NIFTY50,daily,HV_LOW_20,volatility,1.0,3,20.6,1.27,0.83,3.49,45.27,335,740,0.5149
NIFTY50,daily,HV_LOW_20,volatility,1.0,5,6.87,1.48,1.23,4.85,45.27,335,740,0.4186
NIFTY50,daily,HV_LOW_20,volatility,1.0,7,2.09,1.53,1.57,5.54,45.27,335,740,0.3704
NIFTY50,daily,HV_LOW_20,volatility,1.0,10,0.3,1.55,2.06,5.58,45.27,335,740,0.3309
NIFTY50,daily,HV_LOW_20,volatility,1.0,15,0.0,1.55,2.65,7.94,45.27,335,740,0.2959
NIFTY50,daily,HV_LOW_20,volatility,1.0,20,0.0,1.55,3.02,8.45,45.27,335,740,0.2757
NIFTY50,daily,HV_LOW_20,volatility,1.5,1,87.76,0.88,0.37,2.27,45.27,335,740,0.8928
NIFTY50,daily,HV_LOW_20,volatility,1.5,3,49.55,2.02,0.75,3.0,45.27,335,740,0.6843
NIFTY50,daily,HV_LOW_20,volatility,1.5,5,26.27,2.66,1.04,4.44,45.27,335,740,0.5508
NIFTY50,daily,HV_LOW_20,volatility,1.5,7,12.54,2.99,1.28,5.03,45.27,335,740,0.4653
NIFTY50,daily,HV_LOW_20,volatility,1.5,10,3.58,3.16,1.67,5.26,45.27,335,740,0.3919
NIFTY50,daily,HV_LOW_20,volatility,1.5,15,0.9,3.25,2.22,7.62,45.27,335,740,0.3393
NIFTY50,daily,HV_LOW_20,volatility,1.5,20,0.3,3.28,2.58,8.13,45.27,335,740,0.312
NIFTY50,daily,HV_LOW_20,volatility,2.0,1,97.31,0.97,0.61,1.73,45.27,335,740,0.9404
NIFTY50,daily,HV_LOW_20,volatility,2.0,3,68.66,2.49,0.67,2.56,45.27,335,740,0.7947
NIFTY50,daily,HV_LOW_20,volatility,2.0,5,46.87,3.53,0.93,4.03,45.27,335,740,0.6722
NIFTY50,daily,HV_LOW_20,volatility,2.0,7,30.75,4.21,1.12,4.62,45.27,335,740,0.5797
NIFTY50,daily,HV_LOW_20,volatility,2.0,10,15.52,4.84,1.42,4.94,45.27,335,740,0.483
NIFTY50,daily,HV_LOW_20,volatility,2.0,15,6.57,5.28,1.89,7.3,45.27,335,740,0.4023
NIFTY50,daily,HV_LOW_20,volatility,2.0,20,4.48,5.53,2.23,7.81,45.27,335,740,0.3651
NIFTY50,daily,HV_LOW_20,volatility,2.5,1,98.21,0.98,0.46,1.19,45.27,335,740,0.9517
NIFTY50,daily,HV_LOW_20,volatility,2.5,3,83.88,2.74,0.71,2.13,45.27,335,740,0.8708
NIFTY50,daily,HV_LOW_20,volatility,2.5,5,62.69,4.1,0.82,3.62,45.27,335,740,0.7633
NIFTY50,daily,HV_LOW_20,volatility,2.5,7,48.66,5.14,1.01,4.3,45.27,335,740,0.6821
