date,symbol,entry_time,exit_time,exit_reason,spot_at_entry,ce_strike,pe_strike,entry_premium,exit_premium,pnl,lots,dte,filter_used
2024-08-09,BANKNIFTY,12:30:00,13:00:00,time,50540.0,50500,50500,662.47,650.6,356.05,1,3,BANKNIFTY_BB+NoGap
2024-08-14,BANKNIFTY,12:30:00,13:00:00,time,49709.5,49700,49700,375.11,361.78,399.92,1,1,BANKNIFTY_BB+NoGap
2024-08-20,BANKNIFTY,11:10:00,13:00:00,time,50894.05,50900,50900,383.72,331.41,1569.36,1,1,BANKNIFTY_BB+NoGap
2024-08-26,BANKNIFTY,12:00:00,13:00:00,time,51216.8,51200,51200,546.94,526.03,627.15,1,2,BANKNIFTY_BB+NoGap
2024-08-27,BANKNIFTY,12:35:00,13:00:00,time,51319.2,51300,51300,387.65,377.82,295.09,1,1,BANKNIFTY_BB+NoGap
2024-09-05,BANKNIFTY,12:05:00,13:00:00,time,51453.25,51500,51500,775.8,762.1,411.02,1,4,BANKNIFTY_BB+NoGap
2024-09-10,BANKNIFTY,12:55:00,13:00:00,time,51213.65,51200,51200,386.61,385.77,25.23,1,1,BANKNIFTY_BB+NoGap
2024-09-17,BANKNIFTY,12:05:00,13:00:00,time,52230.25,52200,52200,395.16,368.45,801.19,1,1,BANKNIFTY_BB+NoGap
2024-09-19,BANKNIFTY,12:55:00,13:00:00,time,52961.75,53000,53000,691.58,690.34,37.23,1,3,BANKNIFTY_BB+NoGap
2024-10-08,BANKNIFTY,11:55:00,13:00:00,time,51032.65,51000,51000,386.31,353.19,993.53,1,1,BANKNIFTY_BB+NoGap
2024-10-09,BANKNIFTY,11:40:00,13:00:00,time,51283.25,51300,51300,386.66,368.24,552.76,1,1,BANKNIFTY_BB+NoGap
2024-10-11,BANKNIFTY,12:25:00,13:00:00,time,51170.6,51200,51200,668.18,657.71,314.14,1,3,BANKNIFTY_BB+NoGap
2024-10-14,BANKNIFTY,11:15:00,13:00:00,time,51744.8,51700,51700,554.27,511.35,1287.84,1,2,BANKNIFTY_BB+NoGap
2024-10-17,BANKNIFTY,11:10:00,13:00:00,time,51253.25,51300,51300,669.35,635.85,1004.9,1,3,BANKNIFTY_BB+NoGap
2024-10-21,BANKNIFTY,11:05:00,13:00:00,time,52123.6,52100,52100,556.94,526.1,925.21,1,2,BANKNIFTY_BB+NoGap
2024-10-24,BANKNIFTY,11:30:00,13:00:00,time,51658.75,51700,51700,778.9,757.69,636.39,1,4,BANKNIFTY_BB+NoGap
2024-10-28,BANKNIFTY,12:00:00,13:00:00,time,51411.8,51400,51400,548.81,526.5,669.3,1,2,BANKNIFTY_BB+NoGap
2024-11-04,BANKNIFTY,12:35:00,13:00:00,time,51105.6,51100,51100,545.32,536.25,272.14,1,2,BANKNIFTY_BB+NoGap
2024-11-06,BANKNIFTY,12:50:00,13:00:00,time,52356.85,52400,52400,395.55,390.05,165.04,1,1,BANKNIFTY_BB+NoGap
2024-11-14,BANKNIFTY,12:50:00,13:00:00,time,50338.0,50300,50300,933.12,925.67,223.25,1,6,BANKNIFTY_BB+NoGap
2024-11-26,BANKNIFTY,11:45:00,13:00:00,time,52127.65,52100,52100,394.22,352.69,1245.78,1,1,BANKNIFTY_BB+NoGap
2024-11-28,BANKNIFTY,12:00:00,13:00:00,time,52119.3,52100,52100,393.69,375.93,532.82,1,1,BANKNIFTY_BB+NoGap
2024-12-03,BANKNIFTY,11:50:00,13:00:00,time,52611.7,52600,52600,1489.93,1484.14,173.59,1,14,BANKNIFTY_BB+NoGap
2024-12-06,BANKNIFTY,11:55:00,13:00:00,time,53682.25,53700,53700,1405.01,1389.95,451.78,1,12,BANKNIFTY_BB+NoGap
2024-12-16,BANKNIFTY,12:20:00,13:00:00,time,53386.5,53400,53400,1066.1,1067.54,-43.19,1,7,BANKNIFTY_BB+NoGap
2024-12-26,BANKNIFTY,11:35:00,13:00:00,time,51176.6,51200,51200,385.96,340.49,1364.17,1,1,BANKNIFTY_BB+NoGap
2025-01-01,BANKNIFTY,11:55:00,13:00:00,time,50996.2,51000,51000,2326.2,2328.55,-70.53,1,36,BANKNIFTY_BB+NoGap
2025-01-03,BANKNIFTY,12:35:00,13:00:00,time,51151.65,51200,51200,2262.19,2282.38,-605.71,1,34,BANKNIFTY_BB+NoGap
2025-01-08,BANKNIFTY,11:55:00,13:00:00,time,49614.45,49600,49600,2133.6,2107.27,789.79,1,32,BANKNIFTY_BB+NoGap
2025-01-20,BANKNIFTY,12:50:00,13:00:00,time,49421.65,49400,49400,1876.14,1876.9,-22.7,1,25,BANKNIFTY_BB+NoGap
2025-01-23,BANKNIFTY,12:25:00,13:00:00,time,48680.7,48700,48700,1768.23,1763.18,151.48,1,23,BANKNIFTY_BB+NoGap
2025-01-24,BANKNIFTY,12:30:00,13:00:00,time,48707.7,48700,48700,1732.12,1714.33,533.85,1,22,BANKNIFTY_BB+NoGap
2025-02-04,BANKNIFTY,12:15:00,13:00:00,time,49880.7,49900,49900,1460.46,1466.08,-168.72,1,15,BANKNIFTY_BB+NoGap
2025-02-14,BANKNIFTY,12:05:00,13:00:00,time,48860.75,48900,48900,1042.39,1030.99,342.02,1,8,BANKNIFTY_BB+NoGap
2025-02-25,BANKNIFTY,11:50:00,13:00:00,time,48626.45,48600,48600,367.78,333.63,1024.63,1,1,BANKNIFTY_BB+NoGap
2025-03-06,BANKNIFTY,12:50:00,13:00:00,time,48574.2,48600,48600,1876.68,1877.76,-32.39,1,26,BANKNIFTY_BB+NoGap
2025-03-13,BANKNIFTY,12:50:00,13:00:00,time,48217.65,48200,48200,1715.58,1710.48,152.96,1,22,BANKNIFTY_BB+NoGap
2025-03-18,BANKNIFTY,11:30:00,13:00:00,time,49035.3,49000,49000,1664.27,1649.67,438.01,1,20,BANKNIFTY_BB+NoGap
2025-03-24,BANKNIFTY,11:40:00,13:00:00,time,51559.5,51600,51600,1606.59,1608.26,-50.17,1,17,BANKNIFTY_BB+NoGap
2025-04-02,BANKNIFTY,11:45:00,13:00:00,time,51218.4,51200,51200,1342.73,1328.47,427.64,1,12,BANKNIFTY_BB+NoGap
2025-04-09,BANKNIFTY,12:00:00,13:00:00,time,50109.0,50100,50100,1071.07,1068.81,67.87,1,8,BANKNIFTY_BB+NoGap
2025-04-11,BANKNIFTY,12:55:00,13:00:00,time,51184.2,51200,51200,1022.02,1023.46,-43.22,1,7,BANKNIFTY_BB+NoGap
