,nav
2013-07-31,4145482.0
2013-08-01,4143084.5
2013-08-02,4147441.0
2013-08-05,4175604.0
2013-08-06,4169211.0
2013-08-07,4156332.0
2013-08-08,4158240.25
2013-08-12,4190523.5
2013-08-13,4211365.0
2013-08-14,4190597.5
2013-08-16,4194898.5
2013-08-19,4165131.5
2013-08-20,4120272.25
2013-08-21,4081822.0
2013-08-22,4101373.75
2013-08-23,4118590.5
2013-08-26,4127163.0
2013-08-27,4106144.5
2013-08-28,4105151.5
2013-08-29,4127065.0
2013-08-30,4124691.5
2013-09-02,4133244.0
2013-09-03,4127559.5
2013-09-04,4141059.5
2013-09-05,4141302.5
2013-09-06,4134867.5
2013-09-10,4154341.75
2013-09-11,4164831.75
2013-09-12,4165467.0
2013-09-13,4143353.0
2013-09-16,4119143.5
2013-09-17,4138799.5
2013-09-18,4147079.5
2013-09-19,4145541.5
2013-09-20,4140280.5
2013-09-23,4140704.0
2013-09-24,4140539.0
2013-09-25,4141347.5
2013-09-26,4144244.75
2013-09-27,4145789.5
2013-09-30,4162163.0
2013-10-01,4168064.0
2013-10-03,4176406.5
2013-10-04,4194468.0
2013-10-07,4213594.0
2013-10-08,4230913.5
2013-10-09,4237130.0
2013-10-10,4225728.5
2013-10-11,4235543.0
2013-10-14,4247366.0
2013-10-15,4230586.0
2013-10-17,4218625.5
2013-10-18,4242815.0
2013-10-21,4250058.5
2013-10-22,4263759.0
2013-10-23,4245817.0
2013-10-24,4237103.0
2013-10-25,4234057.0
2013-10-28,4220582.0
2013-10-29,4240982.0
2013-10-30,4240847.5
2013-10-31,4248090.0
2013-11-01,4257630.0
2013-11-03,4258070.0
2013-11-05,4278388.0
2013-11-06,4305401.5
2013-11-07,4296652.0
2013-11-08,4299844.5
2013-11-11,4279758.0
2013-11-12,4262283.0
2013-11-13,4247932.5
2013-11-14,4252584.5
2013-11-18,4292195.5
2013-11-19,4307054.0
2013-11-20,4317134.5
2013-11-21,4291455.0
2013-11-22,4309150.0
2013-11-25,4340144.0
2013-11-26,4346896.5
2013-11-27,4351359.5
2013-11-28,4362917.0
2013-11-29,4363258.0
2013-12-02,4416072.0
2013-12-03,4427770.5
2013-12-04,4446002.0
2013-12-05,4422792.5
2013-12-06,4406593.5
2013-12-09,4430049.5
2013-12-10,4417579.5
2013-12-11,4432800.5
2013-12-12,4427265.5
2013-12-13,4410712.0
2013-12-16,4449755.0
2013-12-17,4457602.5
2013-12-18,4496956.0
2013-12-19,4509445.0
2013-12-20,4544380.0
2013-12-23,4552652.5
2013-12-24,4553899.5
2013-12-26,4562759.5
2013-12-27,4573769.5
2013-12-30,4559489.0
2013-12-31,4574578.0
2014-01-01,4601812.0
2014-01-02,4559957.0
2014-01-03,4617246.5
2014-01-06,4659774.5
2014-01-07,4630116.5
2014-01-08,4615039.5
2014-01-09,4562829.5
2014-01-10,4553082.5
2014-01-13,4546129.5
2014-01-14,4536728.0
2014-01-15,4544193.0
2014-01-16,4559343.5
2014-01-17,4490370.0
2014-01-20,4524372.0
2014-01-21,4583546.5
2014-01-22,4592686.0
2014-01-23,4538828.5
2014-01-24,4483429.0
2014-01-27,4381448.0
2014-01-28,4394393.0
2014-01-29,4419396.0
2014-01-30,4417299.0
2014-01-31,4476230.5
2014-02-03,4469134.0
2014-02-04,4473822.0
2014-02-05,4465956.0
2014-02-06,4462977.5
2014-02-07,4474911.0
2014-02-10,4467037.0
2014-02-11,4481306.0
2014-02-12,4468170.0
2014-02-13,4435821.0
2014-02-14,4446643.5
2014-02-17,4446828.0
2014-02-18,4456498.0
2014-02-19,4506764.0
2014-02-20,4478490.5
2014-02-21,4477664.0
2014-02-24,4468186.0
2014-02-25,4523277.5
2014-02-26,4536620.5
2014-02-28,4539502.0
2014-03-03,4527744.5
2014-03-04,4530682.5
2014-03-05,4558713.0
2014-03-06,4569411.0
2014-03-07,4517067.0
2014-03-10,4508980.0
2014-03-11,4493258.0
2014-03-12,4492844.5
2014-03-13,4447351.5
2014-03-14,4447450.5
2014-03-18,4493011.0
2014-03-19,4478226.5
2014-03-20,4465922.5
2014-03-21,4484760.5
2014-03-22,4484812.5
2014-03-24,4495558.0
2014-03-25,4523727.0
2014-03-26,4535919.5
2014-03-27,4525173.0
2014-03-28,4547212.5
2014-03-31,4568023.0
2014-04-01,4516680.0
2014-04-02,4557932.0
2014-04-03,4546837.5
2014-04-04,4537738.0
2014-04-07,4559521.0
2014-04-09,4594707.0
2014-04-10,4559160.5
2014-04-11,4554121.5
2014-04-15,4538310.0
2014-04-16,4499834.5
2014-04-17,4543668.0
2014-04-21,4577581.0
2014-04-22,4565315.0
2014-04-23,4567761.5
2014-04-25,4536321.5
2014-04-28,4521452.5
2014-04-29,4558622.0
2014-04-30,4557018.0
2014-05-02,4615141.5
2014-05-05,4591412.5
2014-05-06,4642519.0
2014-05-07,4654677.5
2014-05-08,4695899.0
2014-05-09,4776627.5
2014-05-12,4903222.0
2014-05-13,4981017.0
2014-05-14,4963267.5
2014-05-15,4976344.5
2014-05-16,5029572.5
2014-05-19,5124889.0
2014-05-20,5116664.5
2014-05-21,5127503.5
2014-05-22,5210941.0
2014-05-23,5213824.0
2014-05-26,5179918.5
2014-05-27,5143713.0
2014-05-28,5141868.0
2014-05-29,5122416.0
2014-05-30,5186735.0
2014-06-02,5216367.0
2014-06-03,5271813.0
2014-06-04,5352895.0
2014-06-05,5376569.5
2014-06-06,5456311.0
2014-06-09,5489250.5
2014-06-10,5475877.0
2014-06-11,5491813.5
2014-06-12,5520212.5
2014-06-13,5458308.5
2014-06-16,5482920.5
2014-06-17,5530895.0
2014-06-18,5496859.5
2014-06-19,5464462.0
2014-06-20,5436547.0
2014-06-23,5473395.5
2014-06-24,5555504.0
2014-06-25,5596960.0
2014-06-26,5608944.5
2014-06-27,5671830.5
2014-06-30,5739425.0
2014-07-01,5775128.0
2014-07-02,5863668.0
2014-07-03,5885059.5
2014-07-04,5919913.0
2014-07-07,5925309.5
2014-07-08,5740154.0
2014-07-09,5654299.5
2014-07-10,5651375.0
2014-07-11,5576789.5
2014-07-14,5615490.0
2014-07-15,5634029.5
2014-07-16,5694359.5
2014-07-17,5735661.0
2014-07-18,5692408.5
2014-07-21,5667252.5
2014-07-22,5679319.0
2014-07-23,5687601.5
2014-07-24,5685424.5
2014-07-25,5657919.0
2014-07-28,5630410.0
2014-07-30,5661139.5
2014-07-31,5631787.5
2014-08-01,5619268.0
2014-08-04,5666864.5
2014-08-05,5652411.5
2014-08-06,5650230.5
2014-08-07,5592727.0
2014-08-08,5510427.0
2014-08-11,5547072.5
2014-08-12,5556838.0
2014-08-13,5544572.0
2014-08-14,5585631.0
2014-08-18,5693308.5
2014-08-19,5840170.0
2014-08-20,5888286.5
2014-08-21,5874145.5
2014-08-22,5841852.5
2014-08-25,5900324.5
2014-08-26,5872812.5
2014-08-27,5907281.0
2014-08-28,5891719.0
2014-09-01,5983602.5
2014-09-02,6061269.5
2014-09-03,6112708.5
2014-09-04,6096010.5
2014-09-05,6142749.0
2014-09-08,6263049.0
2014-09-09,6296791.0
2014-09-10,6262761.0
2014-09-11,6270739.0
2014-09-12,6424925.0
2014-09-15,6466605.5
2014-09-16,6246328.0
2014-09-17,6308550.5
2014-09-18,6432094.5
2014-09-19,6405276.5
2014-09-22,6345673.5
2014-09-23,6269308.5
2014-09-24,6197057.5
2014-09-25,6163854.0
2014-09-26,6148776.5
2014-09-29,6191976.5
2014-09-30,6224235.5
2014-10-01,6189347.5
2014-10-07,6196051.5
2014-10-08,6117519.0
2014-10-09,6177723.0
2014-10-10,6118005.0
2014-10-13,6124090.0
2014-10-14,6095794.5
2014-10-16,6007785.0
2014-10-17,6068177.0
2014-10-20,6120197.0
2014-10-21,6152317.0
2014-10-22,6213990.0
2014-10-23,6233034.0
2014-10-27,6174587.0
2014-10-28,6218370.0
2014-10-29,6239128.0
2014-10-30,6230867.5
2014-10-31,6363146.0
2014-11-03,6411640.0
2014-11-05,6401368.0
2014-11-07,6381983.5
2014-11-10,6419195.0
2014-11-11,6472480.0
2014-11-12,6535191.0
2014-11-13,6539842.0
2014-11-14,6500325.0
2014-11-17,6541376.0
2014-11-18,6607917.0
2014-11-19,6609271.0
2014-11-20,6652405.5
2014-11-21,6560957.0
2014-11-24,6633465.0
2014-11-25,6547884.5
2014-11-26,6514680.5
2014-11-27,6550831.0
2014-11-28,6573737.5
2014-12-01,6569468.5
2014-12-02,6615962.5
2014-12-03,6717292.0
2014-12-04,6821205.0
2014-12-05,6798790.5
2014-12-08,6723571.5
2014-12-09,6692740.5
2014-12-10,6787263.0
2014-12-11,6740647.5
2014-12-12,6649734.5
2014-12-15,6681126.5
2014-12-16,6516169.0
2014-12-17,6432171.5
2014-12-18,6571877.5
2014-12-19,6625213.5
2014-12-22,6587269.0
2014-12-23,6653180.0
2014-12-24,6597421.5
2014-12-26,6603613.0
2014-12-29,6666548.5
2014-12-30,6683250.5
