variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,vol_spike,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
spike_2x_rsi,PNB,2024-10-28,LONG,2024-10-28T13:50:00,97.82,96.48,99.83,1865,0.33,15.30,2024-10-28T14:45:00,96.48,STOP,-2499.10,-2770.88
spike_2x_rsi,PNB,2024-10-29,LONG,2024-10-29T13:15:00,95.75,95.42,96.25,3133,0.30,2.16,2024-10-29T13:50:00,95.42,STOP,-1033.89,-1483.09
spike_2x_rsi,PNB,2024-10-31,SHORT,2024-10-31T13:35:00,95.27,95.77,94.52,3148,0.29,5.66,2024-10-31T14:05:00,94.52,TARGET,2361.00,1912.91
spike_2x_rsi,PNB,2024-11-04,LONG,2024-11-04T13:05:00,97.62,97.20,98.25,3073,0.30,2.01,2024-11-04T13:05:00,98.25,TARGET,1935.99,1484.56
spike_2x_rsi,PNB,2024-11-05,LONG,2024-11-05T13:30:00,101.26,100.59,102.04,2962,0.33,5.02,2024-11-05T13:50:00,102.04,TARGET,2310.36,1858.73
spike_2x_rsi,PNB,2024-11-14,SHORT,2024-11-14T13:35:00,97.57,97.96,96.98,3074,0.31,2.75,2024-11-14T13:55:00,96.98,TARGET,1798.29,1349.74
spike_2x_rsi,PNB,2025-01-02,LONG,2025-01-02T13:35:00,101.21,99.76,103.41,1724,0.32,9.54,2025-01-02T14:30:00,102.33,TIME_STOP,1930.88,1667.70
spike_2x_rsi,PNB,2025-01-22,SHORT,2025-01-22T12:00:00,94.88,95.30,94.17,3161,0.31,2.59,2025-01-22T12:20:00,94.17,TARGET,2228.51,1780.30
spike_2x_rsi,PNB,2025-01-24,SHORT,2025-01-24T14:05:00,94.34,95.65,92.38,1908,0.36,13.65,2025-01-24T15:00:00,95.25,TIME_STOP,-1736.28,-2007.58
spike_2x_rsi,PNB,2025-01-28,LONG,2025-01-28T12:55:00,95.23,94.65,96.10,3150,0.30,3.93,2025-01-28T13:05:00,96.10,TARGET,2740.50,2288.48
spike_2x_rsi,PNB,2025-01-31,LONG,2025-01-31T13:20:00,98.08,96.02,101.22,1213,0.35,30.42,2025-01-31T14:15:00,97.78,TIME_STOP,-363.90,-542.08
spike_2x_rsi,PNB,2025-02-01,SHORT,2025-02-01T11:50:00,97.09,98.15,95.52,2358,0.37,2.79,2025-02-01T12:10:00,98.15,STOP,-2499.48,-2844.76
spike_2x_rsi,PNB,2025-02-03,SHORT,2025-02-03T11:40:00,94.88,95.38,94.13,3161,0.31,2.14,2025-02-03T11:45:00,95.38,STOP,-1580.50,-2031.56
spike_2x_rsi,PNB,2025-02-11,SHORT,2025-02-11T11:30:00,92.96,93.35,92.38,3227,0.30,2.58,2025-02-11T11:35:00,93.35,STOP,-1258.53,-1709.45
spike_2x_rsi,PNB,2025-02-28,SHORT,2025-02-28T13:00:00,84.61,84.89,84.11,3545,0.29,2.25,2025-02-28T13:00:00,84.89,STOP,-992.60,-1443.26
spike_2x_rsi,PNB,2025-04-09,LONG,2025-04-09T11:50:00,93.54,93.39,93.71,3207,0.29,2.55,2025-04-09T11:50:00,93.39,STOP,-481.05,-930.66
spike_2x_rsi,PNB,2025-04-25,SHORT,2025-04-25T11:00:00,96.19,96.55,95.65,3118,0.41,2.06,2025-04-25T11:30:00,96.55,STOP,-1122.48,-1573.20
