config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
mom30_N15_buf22_g200_d15,mom30,15,22,200,15,22.6,19.2,-29.5,1.46,1.48,0.77,0.65,120,972,18,0.328,155.1
mom30_N15_buf22_g200_d20,mom30,15,22,200,20,23.3,19.8,-29.0,1.43,1.46,0.8,0.68,120,756,18,0.286,147.9
mom30_N15_buf22_g200_d30,mom30,15,22,200,30,23.7,20.1,-32.6,1.39,1.46,0.73,0.62,120,512,18,0.242,130.3
mom30_N15_buf26_g0_d0,mom30,15,26,0,0,24.4,21.1,-40.6,1.08,1.31,0.6,0.52,149,0,0,0.116,91.1
mom30_N15_buf26_g0_d15,mom30,15,26,0,15,25.2,21.8,-30.5,1.46,1.73,0.83,0.71,149,1277,0,0.303,205.3
mom30_N15_buf26_g0_d20,mom30,15,26,0,20,25.1,21.7,-34.3,1.38,1.64,0.73,0.63,149,1024,0,0.256,176.2
mom30_N15_buf26_g0_d30,mom30,15,26,0,30,26.1,22.6,-30.6,1.35,1.64,0.85,0.74,149,723,0,0.202,162.3
mom30_N15_buf26_g100_d0,mom30,15,26,100,0,21.7,18.0,-25.7,1.25,1.29,0.84,0.7,110,0,23,0.185,89.4
mom30_N15_buf26_g100_d15,mom30,15,26,100,15,20.8,18.0,-19.3,1.46,1.41,1.07,0.93,111,855,23,0.324,140.5
mom30_N15_buf26_g100_d20,mom30,15,26,100,20,21.9,19.0,-15.3,1.45,1.41,1.43,1.24,111,663,23,0.278,132.5
mom30_N15_buf26_g100_d30,mom30,15,26,100,30,23.2,20.0,-21.8,1.47,1.47,1.07,0.92,111,431,23,0.235,123.8
mom30_N15_buf26_g200_d0,mom30,15,26,200,0,22.8,18.9,-37.8,1.22,1.34,0.6,0.5,120,0,18,0.169,81.1
mom30_N15_buf26_g200_d15,mom30,15,26,200,15,22.7,19.3,-29.6,1.49,1.53,0.77,0.65,120,973,18,0.322,154.6
mom30_N15_buf26_g200_d20,mom30,15,26,200,20,23.7,20.2,-28.2,1.47,1.52,0.84,0.72,120,751,18,0.276,142.5
