variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
adx_30,GAIL,LONG,2021-03-09,2021-03-15,94.19,87.13,1348,6,INITIAL_STOP,-9519.50,-9763.92
adx_30,BAJAJFINSV,LONG,2021-02-12,2021-03-17,1025.00,953.26,116,33,INITIAL_STOP,-8321.49,-8550.97
adx_30,TRENT,LONG,2021-03-04,2021-03-17,900.00,828.00,136,13,INITIAL_STOP,-9792.00,-10027.01
adx_30,PNB,LONG,2021-03-02,2021-03-18,39.99,36.79,2992,16,INITIAL_STOP,-9572.01,-9801.73
adx_30,BPCL,LONG,2021-03-05,2021-03-18,214.15,197.99,585,13,INITIAL_STOP,-9451.05,-9692.15
adx_30,GAIL,LONG,2021-03-16,2021-03-18,87.20,80.22,1445,2,INITIAL_STOP,-10080.32,-10322.25
adx_30,HAL,LONG,2021-01-25,2021-03-26,482.00,493.50,239,60,MAX_HOLD,2748.50,2515.36
adx_30,CUMMINSIND,LONG,2021-02-03,2021-04-05,762.00,882.05,150,61,MAX_HOLD,18007.50,17760.89
adx_30,ADANIPORTS,LONG,2021-02-23,2021-04-06,680.00,850.00,177,42,TARGET,30090.00,29819.19
adx_30,ADANIPORTS,LONG,2021-04-12,2021-04-13,809.90,745.11,155,1,INITIAL_STOP,-10042.76,-10283.79
adx_30,VEDL,LONG,2021-02-23,2021-04-26,168.20,198.00,717,62,MAX_HOLD,21366.60,21104.03
adx_30,JSWSTEEL,LONG,2021-04-06,2021-04-26,523.00,653.75,235,20,TARGET,30726.25,30449.71
adx_30,CIPLA,LONG,2021-04-20,2021-04-26,965.10,907.05,129,6,INITIAL_STOP,-7487.89,-7729.40
adx_30,PERSISTENT,LONG,2021-03-12,2021-05-05,906.95,1133.69,140,54,TARGET,31743.25,31457.56
adx_30,TATASTEEL,LONG,2021-04-28,2021-05-10,92.74,115.92,1397,12,TARGET,32389.45,32097.94
adx_30,HINDALCO,LONG,2021-05-11,2021-05-14,414.85,381.66,327,3,INITIAL_STOP,-10852.48,-11112.94
adx_30,JINDALSTEL,LONG,2021-04-16,2021-05-27,416.70,383.36,300,41,INITIAL_STOP,-10000.80,-10240.82
adx_30,ADANIPORTS,LONG,2021-04-15,2021-06-14,735.90,768.45,170,60,MAX_HOLD,5533.50,5277.76
adx_30,DRREDDY,LONG,2021-04-22,2021-06-21,1036.00,1056.40,120,60,MAX_HOLD,2448.00,2196.91
adx_30,CIPLA,LONG,2021-04-27,2021-06-28,913.00,963.05,141,62,MAX_HOLD,7057.05,6792.53
adx_30,DIVISLAB,LONG,2021-04-28,2021-06-28,3944.15,4314.40,32,61,MAX_HOLD,11848.00,11583.73
