date,side,dte,bkt,entry,target,exit_reason,captured,mfe,mae,dist_pct,width_pct
2026-02-04,bear,1,1,25712.55078125,25465.501302083336,st_flip,-76.099609375,4.201171875,-78.5,0.40822957411638,0.6851136461577756
2026-02-16,bear,3,3+,25473.05078125,25400.150390625,st_flip,-48.849609375,19.400390625,-54.44921875,0.08249189982466967,0.17363279440724969
2026-02-18,bull,1,1,25742.0,25803.100260416664,st_flip,-37.5,0.0,-37.5,0.13978184512238734,0.15026361920933493
2026-02-19,bull,0,0DTE,25853.650390625,25883.216796875,st_flip,-63.0,23.69921875,-73.400390625,0.24021134520920603,0.21327369573073554
2026-02-20,bear,6,3+,25453.25,25266.966145833336,st_flip,-54.650390625,72.900390625,-61.5,0.2453762417341991,0.4793441641129182
2026-02-25,bull,1,1,25562.19921875,25601.767578125,target,39.568359375,41.05078125,-9.349609375,0.3021768860995494,0.1569003466550763
2026-03-06,bear,6,3+,24594.900390625,24578.80078125,target,16.099609375,19.150390625,-93.19921875,0.39502689978839645,0.20035524181292622
2026-03-11,bull,1,1,24288.80078125,24350.283854166664,st_flip,-96.3515625,9.6484375,-105.951171875,0.19594818070198666,0.1915824471860185
2026-03-16,bear,3,3+,23173.80078125,23011.266276041664,st_flip,33.900390625,42.150390625,-14.5,0.12503730539784727,0.43559304173850444
2026-03-17,bull,2,2,23395.55078125,23622.1171875,st_flip,17.19921875,181.0,-48.150390625,0.21137267284298866,0.5112849313606215
