date,baseline,vwap,htf,rsi50,cpr,bb,confluence,fast_pair
2025-05-28,-6884.72,-6884.72,-530.69,-6884.72,-2439.05,-6884.72,-530.69,-5102.24
2025-05-30,-2892.35,-2056.31,-2158.27,-2892.35,-4074.89,-2892.35,-1322.23,-3060.88
2025-06-02,-6979.20,-6979.20,-1538.69,-6979.20,-1251.25,-6979.20,-1538.69,-7177.93
2025-06-03,-3449.24,-3413.35,2880.51,-1428.01,3518.24,-3449.24,1418.03,-7228.67
2025-06-04,-427.23,-1548.56,-124.86,-427.23,-933.75,-1548.56,-124.86,-9217.82
2025-06-05,-7392.90,-7392.90,-7112.17,-7392.90,-6506.34,-7392.90,-7112.17,-11377.99
2025-06-09,-887.45,-887.45,0.00,-887.45,-887.45,-887.45,0.00,-3978.16
2025-06-10,-2745.89,-2738.01,-1134.92,-2863.66,-1327.81,-2745.89,0.00,-2776.69
2025-06-11,-4612.04,-4612.04,-1902.19,-4612.04,-4612.04,-4612.04,-1902.19,-7022.81
2025-06-12,-3699.41,-3699.41,-1006.92,-3699.41,315.37,-3699.41,-1006.92,-8962.68
2025-06-13,-2144.24,-2144.24,-2756.43,-2144.24,-1023.19,-2144.24,-2756.43,2527.72
2025-06-16,2952.98,2952.98,0.00,2952.98,2952.98,2952.98,0.00,-1856.69
2025-06-17,2099.16,2099.16,3082.38,2099.16,-226.64,2099.16,3082.38,-1076.24
2025-06-18,-4105.86,-4105.86,980.48,-4105.86,1076.16,-4105.86,980.48,-7997.47
