symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,pnl_inr,shares,seed
PANAMAPET,2022-11-21,337.38,2022-12-26,311.79,"SuperTrend(14,4) trail",25,-8.05,-134024,4925,20
IRCON,2022-11-22,59.5,2022-12-26,49.95,"SuperTrend(14,4) trail",24,-16.47,-274610,27954,20
EASEMYTRIP,2022-11-23,34.91,2022-12-07,27.88,"SuperTrend(14,4) trail",10,-20.54,-344766,47971,20
GRAVITA,2022-12-07,384.1,2024-01-25,900.35,"SuperTrend(14,4) trail",282,133.24,2256345,4398,20
FACT,2022-12-08,170.05,2023-02-06,276.9,"SuperTrend(14,4) trail",41,62.02,1059018,10016,20
PONNIERODE,2022-12-20,440.0,2023-03-14,420.0,"SuperTrend(14,4) trail",58,-5.02,-90704,4095,20
USHAMART,2022-12-27,172.75,2023-09-22,321.0,"SuperTrend(14,4) trail",183,84.89,1465158,9966,20
ARVSMART,2022-12-29,314.93,2023-02-21,263.5,"SuperTrend(14,4) trail",37,-16.75,-297957,5635,20
NACLIND,2022-12-30,103.56,2023-02-28,83.61,"SuperTrend(14,4) trail",41,-19.67,-354210,17348,20
JSWSTEEL,2022-12-30,773.0,2023-01-31,708.7,"SuperTrend(14,4) trail",21,-8.78,-158042,2324,20
HDFCBANK,2023-01-25,845.7,2023-03-14,785.1,"SuperTrend(14,4) trail",32,-7.63,-133688,2067,20
KABRAEXTRU,2023-01-31,564.9,2023-03-21,494.9,"SuperTrend(14,4) trail",34,-12.83,-221000,3042,20
AEGISLOG,2023-02-01,380.0,2023-06-02,346.0,"SuperTrend(14,4) trail",81,-9.4,-158696,4431,20
SUPREMEIND,2023-02-06,2650.05,2023-10-06,3899.0,"SuperTrend(14,4) trail",164,46.4,793780,644,20
DATAPATTNS,2023-02-06,1474.68,2023-09-14,2068.56,"SuperTrend(14,4) trail",150,39.57,677455,1158,20
EQUITASBNK,2023-03-01,70.47,2023-03-28,61.09,"SuperTrend(14,4) trail",18,-13.74,-225868,23264,20
DREAMFOLKS,2023-03-06,467.9,2023-08-10,580.0,"SuperTrend(14,4) trail",106,23.34,386246,3528,20
FINCABLES,2023-03-06,775.85,2023-05-30,795.0,"SuperTrend(14,4) trail",55,1.96,32394,2128,20
HGINFRA,2023-03-24,809.54,2023-11-08,889.36,"SuperTrend(14,4) trail",153,9.31,150843,1996,20
SBCL,2023-03-29,526.79,2023-08-08,575.13,"SuperTrend(14,4) trail",88,8.63,140220,3076,20
SDBL,2023-04-03,62.11,2023-10-20,128.6,"SuperTrend(14,4) trail",136,106.02,1733904,26266,20
JBMA,2023-04-05,353.8,2023-10-11,622.4,"SuperTrend(14,4) trail",128,75.04,1236311,4645,20
