symbol,months,n_young,n_young_liq,first
AKUMS,24,491,420,2024-08-06
AKUMS,36,512,441,2024-08-06
AKZOINDIA,3,62,0,2005-01-03
AKZOINDIA,6,126,0,2005-01-03
AKZOINDIA,12,250,0,2005-01-03
AKZOINDIA,24,497,0,2005-01-03
AKZOINDIA,36,747,0,2005-01-03
ALANKIT,3,63,0,2015-06-30
ALANKIT,6,122,0,2015-06-30
ALANKIT,12,246,44,2015-06-30
ALANKIT,24,492,89,2015-06-30
ALANKIT,36,742,128,2015-06-30
ALBERTDAVD,3,61,0,2016-06-14
ALBERTDAVD,6,122,0,2016-06-14
ALBERTDAVD,12,247,0,2016-06-14
ALBERTDAVD,24,496,0,2016-06-14
ALBERTDAVD,36,739,10,2016-06-14
ALEMBICLTD,3,62,0,2005-01-03
ALEMBICLTD,6,126,0,2005-01-03
ALEMBICLTD,12,250,0,2005-01-03
ALEMBICLTD,24,497,0,2005-01-03
ALEMBICLTD,36,747,0,2005-01-03
ALGOQUANT,3,60,21,2026-01-06
ALGOQUANT,6,121,82,2026-01-06
ALGOQUANT,12,161,122,2026-01-06
ALGOQUANT,24,161,122,2026-01-06
ALGOQUANT,36,161,122,2026-01-06
ALICON,3,61,0,2006-10-03
ALICON,6,122,0,2006-10-03
ALICON,12,248,0,2006-10-03
ALICON,24,497,0,2006-10-03
ALICON,36,738,0,2006-10-03
ALIVUS,3,61,42,2025-01-13
ALIVUS,6,124,105,2025-01-13
ALIVUS,12,249,196,2025-01-13
ALIVUS,24,407,346,2025-01-13
ALIVUS,36,407,346,2025-01-13
ALKALI-BE,3,59,27,2008-11-06
ALKALI-BE,6,115,41,2008-11-06
ALKALI-BE,12,240,65,2008-11-06
ALKALI-BE,24,490,65,2008-11-06
ALKALI-BE,36,737,65,2008-11-06
ALKEM,3,62,43,2015-12-23
ALKEM,6,122,91,2015-12-23
ALKEM,12,245,167,2015-12-23
ALKEM,24,494,269,2015-12-23
ALKEM,36,738,383,2015-12-23
ALKYLAMINE,3,63,0,2007-11-28
ALKYLAMINE,6,121,0,2007-11-28
ALKYLAMINE,12,245,0,2007-11-28
ALKYLAMINE,24,485,0,2007-11-28
ALKYLAMINE,36,734,0,2007-11-28
ALLCARGO,3,64,1,2006-06-23
ALLCARGO,6,126,1,2006-06-23
ALLCARGO,12,247,1,2006-06-23
ALLCARGO,24,496,1,2006-06-23
ALLCARGO,36,737,1,2006-06-23
ALLDIGI,3,60,0,2024-09-18
ALLDIGI,6,123,0,2024-09-18
ALLDIGI,12,247,0,2024-09-18
ALLDIGI,24,484,0,2024-09-18
ALLDIGI,36,484,0,2024-09-18
ALLTIME,3,60,22,2025-08-14
ALLTIME,6,122,32,2025-08-14
ALLTIME,12,182,32,2025-08-14
ALLTIME,24,182,32,2025-08-14
ALLTIME,36,182,32,2025-08-14
ALMONDZ,3,63,0,2008-06-16
ALMONDZ,6,122,0,2008-06-16
ALMONDZ,12,241,0,2008-06-16
ALMONDZ,24,487,0,2008-06-16
ALMONDZ,36,740,0,2008-06-16
ALOKINDS,3,58,0,2020-02-19
ALOKINDS,6,122,25,2020-02-19
ALOKINDS,12,249,152,2020-02-19
ALOKINDS,24,497,400,2020-02-19
ALOKINDS,36,745,487,2020-02-19
ALPA,3,54,0,2015-01-01
ALPA,6,115,0,2015-01-01
ALPA,12,239,0,2015-01-01
ALPA,24,484,0,2015-01-01
ALPA,36,731,0,2015-01-01
ALPHA,3,59,0,2024-03-12
ALPHA,6,120,29,2024-03-12
ALPHA,12,245,125,2024-03-12
ALPHA,24,491,285,2024-03-12
ALPHA,36,610,371,2024-03-12
ALPHAGEO-BE,3,65,0,2007-05-11
ALPHAGEO-BE,6,128,0,2007-05-11
ALPHAGEO-BE,12,250,0,2007-05-11
ALPHAGEO-BE,24,489,0,2007-05-11
ALPHAGEO-BE,36,735,0,2007-05-11
AMAGI,3,60,41,2026-01-21
AMAGI,6,122,87,2026-01-21
AMAGI,12,154,119,2026-01-21
AMAGI,24,154,119,2026-01-21
AMAGI,36,154,119,2026-01-21
AMANTA,3,62,0,2025-09-11
AMANTA,6,123,0,2025-09-11
AMANTA,12,164,0,2025-09-11
AMANTA,24,164,0,2025-09-11
AMANTA,36,164,0,2025-09-11
AMANTA-BE,3,62,0,2025-09-09
