symbol,n_sessions,L_b3_wr,L_b3_n,L_b3_avg_ret,L_b6_wr,L_b6_n,L_b6_avg_ret,S_b3_wr,S_b3_n,S_b3_avg_ret,S_b6_wr,S_b6_n,S_b6_avg_ret,L_b3_aboveVWAP_wr,L_b3_aboveVWAP_n,L_b3_aboveVWAP_avg_ret,S_b3_belowVWAP_wr,S_b3_belowVWAP_n,S_b3_belowVWAP_avg_ret,L_b3_strong_wr,L_b3_strong_n,L_b3_strong_avg_ret,S_b3_weak_wr,S_b3_weak_n,S_b3_weak_avg_ret
CANFINHOME,442,0.45475113122171945,442,-0.0009445718631541261,0.4298642533936652,442,-0.0013809353027906975,0.5407239819004525,442,0.0009445718631541261,0.5678733031674208,442,0.0013809353027906975,0.431924882629108,213,-0.0012370605952931367,0.5152838427947598,229,0.0006725190249636924,0.42735042735042733,117,-0.0013437769156106763,0.4857142857142857,105,0.00043192093472133616
CAPLIPOINT,442,0.48868778280542985,442,0.0012676763731616903,0.47058823529411764,442,0.0010861699382048934,0.5090497737556561,442,-0.0012676763731616903,0.5248868778280543,442,-0.0010861699382048934,0.5544041450777202,193,0.003330150835993803,0.5622489959839357,249,0.0003309484112824771,0.5789473684210527,76,0.005881103361057527,0.47619047619047616,105,-0.00037635494583880785
CARBORUNIV,442,0.45475113122171945,442,-0.0010854032862392085,0.43665158371040724,442,-0.0012926141286699678,0.5384615384615384,442,0.0010854032862392085,0.5542986425339367,442,0.0012926141286699678,0.4095744680851064,188,-0.0031574861650359104,0.5,254,-0.0004482643563347286,0.43529411764705883,85,-0.003302681167054459,0.48514851485148514,101,-0.001315380447060889
CARERATING,442,0.45475113122171945,442,-0.0004001636303901957,0.4479638009049774,442,-0.0005255645450444847,0.5429864253393665,442,0.0004001636303901957,0.5497737556561086,442,0.0005255645450444847,0.45893719806763283,207,-0.0002271686800231115,0.5446808510638298,235,0.0005525464164582236,0.4673913043478261,92,-0.0002242051152501209,0.5833333333333334,96,0.000738001233739027
CASTROLIND,442,0.4095022624434389,442,-0.0016618397898347282,0.38687782805429866,442,-0.0017498707684174067,0.583710407239819,442,0.0016618397898347282,0.6018099547511312,442,0.0017498707684174067,0.4292929292929293,198,-0.0003259020307827365,0.6024590163934426,244,0.0027459204303769192,0.39215686274509803,102,-0.0008086304665852783,0.5925925925925926,108,0.0032944113228658635
CCL,442,0.4819004524886878,442,0.0016815579698952721,0.4841628959276018,442,0.0013164514774696636,0.5113122171945701,442,-0.0016815579698952721,0.5158371040723982,442,-0.0013164514774696636,0.5029585798816568,169,0.0023746343093316064,0.5201465201465202,273,-0.0012525107121489699,0.45714285714285713,70,0.0016089148730035346,0.5321100917431193,109,-0.0012374604410180599
CDSL,442,0.41855203619909503,442,-0.0006588919758481521,0.4117647058823529,442,-0.0009169707330833331,0.579185520361991,442,0.0006588919758481521,0.5882352941176471,442,0.0009169707330833331,0.4549763033175355,211,0.0007946648962143835,0.6103896103896104,231,0.0019865997680784337,0.49230769230769234,130,0.0022272268339883026,0.6696428571428571,112,0.004788076619430194
CEATLTD,442,0.45701357466063347,442,-5.482715478196493e-05,0.4592760180995475,442,-0.0003910695523887317,0.5407239819004525,442,5.482715478196493e-05,0.5361990950226244,442,0.0003910695523887317,0.4790697674418605,215,0.0017077176086431954,0.5638766519823789,227,0.0017241977456912572,0.49557522123893805,113,0.002669663123451587,0.5700934579439252,107,0.0021355904057321737
CENTRALBK,442,0.4004524886877828,442,-0.000836061334038865,0.39819004524886875,442,-0.0008721855013796138,0.5927601809954751,442,0.000836061334038865,0.5972850678733032,442,0.0008721855013796138,0.4213197969543147,197,0.0001388386236362616,0.6163265306122448,245,0.0016199604836796809,0.4326923076923077,104,0.0007020029628292312,0.5754716981132075,106,0.003236705515678776
CENTURYPLY,442,0.5158371040723982,442,0.002046988647524854,0.49547511312217196,442,0.0016063190751616403,0.4841628959276018,442,-0.002046988647524854,0.49547511312217196,442,-0.0016063190751616403,0.4918918918918919,185,0.0020408151108154615,0.4669260700389105,257,-0.002051432633093872,0.5487804878048781,82,0.001957481948429471,0.4369747899159664,119,-0.0035305371946505243
