symbol,n_sessions,first_session,last_session,avg_range_pct,median_range_pct,avg_abs_ret_pct,trending_up_freq,trending_dn_freq,trending_freq,ranging_freq,open_eq_low_freq,open_eq_high_freq,gap_up_3_freq,gap_dn_3_freq,avg_volume,avg_close
AFFLE,442,2024-03-18,2026-03-24,3.531,3.098,1.625,0.124,0.215,0.339,0.645,0.045,0.045,0.426,0.2,350671,1600.78
AIAENG,442,2024-03-18,2026-03-24,2.804,2.471,1.206,0.158,0.204,0.362,0.615,0.066,0.063,0.347,0.238,74784,3659.61
AJANTPHARM,442,2024-03-18,2026-03-24,3.277,2.86,1.52,0.156,0.244,0.4,0.575,0.043,0.066,0.467,0.181,141895,2674.54
ALKEM,442,2024-03-18,2026-03-24,2.411,2.151,1.162,0.176,0.222,0.398,0.593,0.041,0.068,0.41,0.138,189230,5340.6
AMBER,442,2024-03-18,2026-03-24,3.998,3.302,1.905,0.133,0.253,0.387,0.6,0.032,0.057,0.49,0.168,425680,6108.69
APLAPOLLO,442,2024-03-18,2026-03-24,2.839,2.541,1.335,0.161,0.206,0.367,0.624,0.045,0.059,0.404,0.188,612286,1652.64
APLLTD,442,2024-03-18,2026-03-24,3.43,2.873,1.552,0.133,0.24,0.373,0.611,0.068,0.068,0.365,0.288,225187,955.46
APOLLOTYRE,442,2024-03-18,2026-03-24,2.725,2.445,1.271,0.149,0.224,0.373,0.606,0.025,0.052,0.383,0.204,1632750,481.6
ASAHIINDIA,442,2024-03-18,2026-03-24,3.666,3.246,1.758,0.152,0.199,0.351,0.633,0.048,0.081,0.39,0.224,304965,760.02
ASHOKA,442,2024-03-18,2026-03-24,3.81,3.26,1.944,0.147,0.283,0.43,0.554,0.052,0.038,0.397,0.254,1756334,203.92
ASHOKLEY,442,2024-03-18,2026-03-24,2.653,2.337,1.323,0.215,0.213,0.428,0.561,0.036,0.054,0.383,0.197,18909299,127.58
ASTERDM,442,2024-03-18,2026-03-24,3.194,2.753,1.475,0.14,0.201,0.342,0.643,0.025,0.093,0.431,0.209,1293761,510.8
ASTRAL,442,2024-03-18,2026-03-24,2.595,2.29,1.34,0.197,0.204,0.4,0.59,0.07,0.066,0.363,0.211,648336,1665.08
ATUL,442,2024-03-18,2026-03-24,2.749,2.418,1.332,0.147,0.222,0.369,0.613,0.048,0.075,0.367,0.209,57748,6576.71
AUBANK,442,2024-03-18,2026-03-24,2.687,2.36,1.291,0.215,0.167,0.382,0.597,0.043,0.066,0.34,0.222,3083237,719.92
AUROPHARMA,442,2024-03-18,2026-03-24,2.774,2.478,1.319,0.188,0.217,0.405,0.586,0.048,0.041,0.374,0.206,1306026,1216.09
BAJAJCON,442,2024-03-18,2026-03-24,3.447,2.973,1.624,0.138,0.204,0.342,0.652,0.045,0.072,0.415,0.22,802262,238.69
