variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
55_vol_3x_atr_floor,DLF,LONG,2023-04-11,2023-06-12,407.50,490.60,389,62,MAX_HOLD,32325.90,31976.54
55_vol_3x_atr_floor,IDFCFIRSTB,LONG,2023-05-02,2023-06-15,63.50,79.38,2489,44,TARGET,39512.88,39157.26
55_vol_3x_atr_floor,NESTLEIND,LONG,2023-04-18,2023-06-19,1010.00,1139.80,157,62,MAX_HOLD,20378.60,20041.08
55_vol_3x_atr_floor,EICHERMOT,LONG,2023-05-15,2023-06-20,3630.00,3482.14,43,36,INITIAL_STOP,-6358.16,-6663.98
55_vol_3x_atr_floor,GODREJPROP,LONG,2023-06-16,2023-06-22,1579.95,1503.94,106,6,INITIAL_STOP,-8057.26,-8384.15
55_vol_3x_atr_floor,ADANIENT,LONG,2023-05-23,2023-06-23,2410.90,2218.03,65,31,INITIAL_STOP,-12536.68,-12837.56
55_vol_3x_atr_floor,MARICO,LONG,2023-05-09,2023-07-10,531.00,527.10,297,62,MAX_HOLD,-1158.30,-1472.56
55_vol_3x_atr_floor,PIDILITIND,LONG,2023-05-11,2023-07-10,1270.00,1297.90,124,60,MAX_HOLD,3459.60,3141.18
55_vol_3x_atr_floor,ASIANPAINT,LONG,2023-05-12,2023-07-11,3139.00,3392.55,50,60,MAX_HOLD,12677.50,12350.92
55_vol_3x_atr_floor,RELIANCE,LONG,2023-07-11,2023-07-21,1312.00,1270.37,127,10,INITIAL_STOP,-5286.94,-5614.90
55_vol_3x_atr_floor,TCS,LONG,2023-07-17,2023-07-21,3510.00,3393.55,47,4,INITIAL_STOP,-5473.11,-5797.58
55_vol_3x_atr_floor,MUTHOOTFIN,LONG,2023-05-23,2023-07-24,1122.00,1296.75,139,62,MAX_HOLD,24290.25,23954.04
55_vol_3x_atr_floor,CUMMINSIND,LONG,2023-05-29,2023-07-28,1755.80,1955.05,91,60,MAX_HOLD,18131.75,17794.06
55_vol_3x_atr_floor,BAJAJFINSV,LONG,2023-07-05,2023-07-28,1631.00,1573.24,102,23,INITIAL_STOP,-5891.10,-6217.93
55_vol_3x_atr_floor,HDFCLIFE,LONG,2023-06-28,2023-08-03,667.20,631.44,250,36,INITIAL_STOP,-8940.55,-9265.21
55_vol_3x_atr_floor,TRENT,LONG,2023-06-14,2023-08-14,1695.50,1929.60,96,61,MAX_HOLD,22473.60,22125.59
55_vol_3x_atr_floor,MARICO,LONG,2023-07-31,2023-08-18,574.95,549.65,297,18,INITIAL_STOP,-7513.36,-7847.37
