date,daily_pnl
2025-10-09,-7028.13
2025-10-10,-6750.50
2025-10-13,-3320.25
2025-10-14,-9987.96
2025-10-15,-10811.22
2025-10-16,-8952.45
2025-10-17,-3617.14
2025-10-20,-793.56
2025-10-23,-4548.83
2025-10-24,-6378.25
2025-10-27,-7490.67
2025-10-28,-0.59
2025-10-29,-7896.02
2025-10-30,-4697.12
2025-10-31,-7240.37
2025-11-03,-2386.64
2025-11-04,-3679.44
2025-11-06,-5684.79
2025-11-07,-6948.96
2025-11-10,-6048.13
2025-11-11,-4860.17
2025-11-12,-4260.08
2025-11-13,-824.32
2025-11-14,-2887.96
2025-11-17,-4566.16
2025-11-18,-4006.68
2025-11-19,-7313.83
2025-11-20,-4189.84
2025-11-21,-878.87
2025-11-24,-7145.45
2025-11-25,-9117.84
2025-11-26,-8701.84
2025-11-27,-6833.09
2025-11-28,-2318.23
2025-12-01,-7917.77
2025-12-02,-6463.87
2025-12-03,-5953.45
2025-12-04,-6728.73
2025-12-05,-6821.20
2025-12-08,-9405.94
2025-12-09,-4635.03
2025-12-10,-6333.95
2025-12-11,-7626.60
2025-12-12,-8807.08
2025-12-15,-700.86
2025-12-16,-8442.63
2025-12-17,-6936.52
2025-12-18,-10326.51
2025-12-19,-3654.61
2025-12-22,-4572.52
2025-12-24,-6595.73
2025-12-26,-2222.14
2025-12-29,-3198.97
2025-12-30,-9866.88
2025-12-31,-857.30
2026-01-01,-5465.38
2026-01-02,-6604.88
2026-01-05,-6974.78
2026-01-06,-2098.11
2026-01-07,-1538.38
2026-01-08,-889.06
2026-01-09,-4880.07
2026-01-12,-408.07
2026-01-13,-6592.62
2026-01-14,-5034.18
2026-01-16,-1017.53
2026-01-19,-4130.18
2026-01-20,-5695.50
2026-01-21,1630.81
2026-01-22,-4506.18
2026-01-23,-11679.34
2026-01-27,-3398.82
2026-01-28,-10325.10
2026-01-29,-3639.06
2026-01-30,-12901.80
2026-02-01,-2147.46
2026-02-02,-5704.42
2026-02-03,-7887.28
2026-02-04,-4146.86
2026-02-05,-4597.42
2026-02-06,-5072.07
2026-02-09,-666.93
2026-02-10,-3254.03
2026-02-11,-6021.85
2026-02-12,-7877.03
2026-02-13,-7950.33
2026-02-16,-8494.65
2026-02-18,-7931.45
2026-02-19,-9114.42
2026-02-20,-6247.30
2026-02-23,-11920.84
2026-02-24,-7179.08
2026-02-25,-820.17
2026-02-26,-5648.03
2026-02-27,-609.24
2026-03-02,-4674.71
2026-03-04,-2687.46
2026-03-05,-1014.65
2026-03-06,-5197.26
2026-03-09,-1640.17
2026-03-10,-4696.35
2026-03-11,-9491.18
2026-03-12,-2573.01
