symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,deviation_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
TRENT,2025-05-19,LONG,2025-05-19T12:35:00,5577.00,5568.14,5585.86,53,8.86,-2.94,2025-05-19T12:40:00,5585.86,TARGET,469.43,25.71
TRENT,2025-05-20,LONG,2025-05-20T11:40:00,5486.00,5472.07,5499.93,54,13.93,-2.12,2025-05-20T11:50:00,5472.07,STOP,-752.14,-1195.94
TRENT,2025-05-22,SHORT,2025-05-22T11:50:00,5400.00,5410.93,5389.07,55,10.93,3.67,2025-05-22T11:55:00,5389.07,TARGET,601.07,156.02
TRENT,2025-05-26,SHORT,2025-05-26T11:45:00,5475.00,5485.86,5464.14,54,10.86,2.24,2025-05-26T12:05:00,5485.86,STOP,-586.29,-1030.20
TRENT,2025-05-27,SHORT,2025-05-27T11:35:00,5574.50,5590.75,5558.25,53,16.25,2.67,2025-05-27T11:40:00,5590.75,STOP,-861.25,-1305.07
TRENT,2025-05-28,LONG,2025-05-28T11:35:00,5542.00,5530.71,5553.29,54,11.29,-2.06,2025-05-28T11:40:00,5553.29,TARGET,609.43,160.07
TRENT,2025-05-30,LONG,2025-05-30T11:45:00,5647.50,5635.46,5659.54,53,12.04,-1.86,2025-05-30T11:55:00,5635.46,STOP,-637.89,-1086.39
TRENT,2025-06-02,SHORT,2025-06-02T11:35:00,5627.00,5636.39,5617.61,53,9.39,2.07,2025-06-02T12:05:00,5617.61,TARGET,497.82,50.85
TRENT,2025-06-04,LONG,2025-06-04T12:25:00,5509.00,5497.18,5520.82,54,11.82,-3.30,2025-06-04T12:30:00,5497.18,STOP,-638.36,-1084.11
TRENT,2025-06-05,SHORT,2025-06-05T11:35:00,5657.00,5667.64,5646.36,53,10.64,3.80,2025-06-05T11:55:00,5667.64,STOP,-564.07,-1014.23
TRENT,2025-06-09,SHORT,2025-06-09T11:35:00,5900.00,5915.39,5884.61,50,15.39,2.46,2025-06-09T11:50:00,5884.61,TARGET,769.64,327.72
TRENT,2025-06-10,LONG,2025-06-10T11:35:00,5838.00,5826.29,5849.71,51,11.71,-4.09,2025-06-10T11:45:00,5849.71,TARGET,597.43,150.37
TRENT,2025-06-11,LONG,2025-06-11T12:10:00,5796.00,5789.64,5802.36,51,6.36,-2.25,2025-06-11T12:30:00,5789.64,STOP,-324.21,-767.37
TRENT,2025-06-12,LONG,2025-06-12T11:35:00,5707.00,5695.96,5718.04,52,11.04,-6.33,2025-06-12T11:40:00,5718.04,TARGET,573.86,128.28
TRENT,2025-06-13,SHORT,2025-06-13T13:20:00,5563.00,5572.68,5553.32,53,9.68,2.58,2025-06-13T13:25:00,5572.68,STOP,-512.96,-955.61
TRENT,2025-06-16,SHORT,2025-06-16T11:35:00,5682.00,5697.11,5666.89,52,15.11,3.21,2025-06-16T12:35:00,5681.50,TIME_STOP,26.00,-417.18
TRENT,2025-06-17,SHORT,2025-06-17T11:35:00,5701.00,5712.39,5689.61,52,11.39,3.49,2025-06-17T11:45:00,5689.61,TARGET,592.43,148.19
TRENT,2025-06-19,LONG,2025-06-19T12:20:00,5707.00,5699.54,5714.46,52,7.46,-2.39,2025-06-19T12:25:00,5699.54,STOP,-388.14,-833.00
TRENT,2025-06-20,SHORT,2025-06-20T11:35:00,5807.50,5820.71,5794.29,51,13.21,2.70,2025-06-20T11:55:00,5794.29,TARGET,673.93,230.16
TRENT,2025-06-23,SHORT,2025-06-23T11:35:00,6044.50,6064.18,6024.82,49,19.68,4.44,2025-06-23T11:40:00,6064.18,STOP,-964.25,-1409.24
TRENT,2025-06-24,LONG,2025-06-24T13:15:00,6105.00,6089.93,6120.07,49,15.07,-2.08,2025-06-24T13:25:00,6089.93,STOP,-738.50,-1186.66
TRENT,2025-06-26,LONG,2025-06-26T12:50:00,6032.00,6014.36,6049.64,49,17.64,-2.97,2025-06-26T12:55:00,6014.36,STOP,-864.50,-1307.20
TRENT,2025-06-27,LONG,2025-06-27T11:35:00,6077.00,6067.68,6086.32,49,9.32,-4.14,2025-06-27T12:00:00,6086.32,TARGET,456.75,9.75
TRENT,2025-07-01,LONG,2025-07-01T11:35:00,6145.00,6137.36,6152.64,48,7.64,-2.53,2025-07-01T11:40:00,6152.64,TARGET,366.86,-75.86
TRENT,2025-07-02,SHORT,2025-07-02T11:40:00,6197.50,6215.75,6179.25,48,18.25,3.98,2025-07-02T11:45:00,6215.75,STOP,-876.00,-1322.88
TRENT,2025-07-03,LONG,2025-07-03T11:35:00,6162.50,6154.39,6170.61,48,8.11,-3.15,2025-07-03T11:45:00,6154.39,STOP,-389.14,-832.55
TRENT,2025-07-04,LONG,2025-07-04T11:35:00,5646.00,5629.18,5662.82,53,16.82,-4.13,2025-07-04T11:45:00,5629.18,STOP,-891.54,-1339.72
TRENT,2025-07-07,LONG,2025-07-07T12:00:00,5455.00,5441.61,5468.39,54,13.39,-1.90,2025-07-07T12:05:00,5468.39,TARGET,723.21,280.82
TRENT,2025-07-09,LONG,2025-07-09T11:50:00,5440.00,5429.50,5450.50,55,10.50,-2.60,2025-07-09T12:40:00,5450.50,TARGET,577.50,128.27
TRENT,2025-07-10,LONG,2025-07-10T11:35:00,5393.00,5385.18,5400.82,55,7.82,-2.83,2025-07-10T12:15:00,5400.82,TARGET,430.18,-15.07
TRENT,2025-07-11,LONG,2025-07-11T12:05:00,5353.00,5343.21,5362.79,56,9.79,-2.46,2025-07-11T12:30:00,5362.79,TARGET,548.00,97.94
TRENT,2025-07-14,LONG,2025-07-14T11:35:00,5293.50,5283.93,5303.07,56,9.57,-4.39,2025-07-14T12:15:00,5303.07,TARGET,536.00,90.94
TRENT,2025-07-15,SHORT,2025-07-15T13:10:00,5363.00,5372.96,5353.04,55,9.96,2.52,2025-07-15T13:35:00,5353.04,TARGET,548.04,106.00
TRENT,2025-07-17,SHORT,2025-07-17T12:00:00,5447.50,5458.29,5436.71,55,10.79,2.39,2025-07-17T12:10:00,5436.71,TARGET,593.21,144.24
TRENT,2025-07-18,LONG,2025-07-18T12:50:00,5385.50,5378.32,5392.68,55,7.18,-2.82,2025-07-18T13:00:00,5392.68,TARGET,394.82,-49.78
TRENT,2025-07-21,LONG,2025-07-21T13:50:00,5365.50,5360.18,5370.82,55,5.32,-2.05,2025-07-21T13:55:00,5360.18,STOP,-292.68,-735.11
TRENT,2025-07-22,LONG,2025-07-22T11:35:00,5399.00,5392.68,5405.32,55,6.32,-2.40,2025-07-22T11:50:00,5392.68,STOP,-347.68,-792.84
