date,baseline,stoch,rsi,stoch_and_rsi
2025-12-23,-738.83,-172.09,-184.28,0.00
2025-12-24,-6720.74,-7045.05,-1863.10,-1023.08
2025-12-26,-4497.61,-4692.48,-4830.84,-561.49
2025-12-29,-7050.14,-3678.13,-899.03,38.06
2025-12-30,-5257.18,-4027.42,-4578.44,-1864.20
2025-12-31,-1405.69,-799.01,0.00,0.00
2026-01-01,-7382.74,-4562.37,-4018.03,-2311.56
2026-01-02,-7017.23,-4490.42,-3145.21,-2949.99
2026-01-05,-3970.48,-2462.64,-1322.39,-281.86
2026-01-06,-7031.34,-6454.14,-2371.12,-2627.44
2026-01-07,-5169.59,-2170.47,-3369.22,-3374.75
2026-01-08,-890.03,363.00,0.00,0.00
2026-01-09,-4560.09,-5826.31,-7729.02,-4033.77
2026-01-12,-1841.45,-3915.99,-1202.69,-849.66
2026-01-13,-6150.09,-1125.93,-3771.61,-1549.15
2026-01-14,-6534.01,-4220.31,-3366.53,284.74
2026-01-16,-1874.13,-919.54,-955.86,15.41
2026-01-19,-8521.57,-5567.58,-2576.50,454.18
2026-01-20,-7651.57,-9968.18,-7306.92,-6289.19
2026-01-21,-4157.78,-3622.55,39.95,-442.32
2026-01-22,-4318.22,-1074.78,-1791.54,-701.89
2026-01-23,-8154.86,-8021.38,-195.58,1557.15
2026-01-27,-5733.24,-3412.48,-4478.94,-984.34
2026-01-28,-4161.24,-762.71,1198.15,156.75
2026-01-29,-2436.79,-1475.40,-1303.53,-245.55
2026-01-30,-6652.67,218.24,-3125.63,-596.24
2026-02-01,-1107.76,-1358.53,-1358.53,-1358.53
2026-02-02,-7111.01,-7122.49,-4502.43,-3202.58
2026-02-03,-9904.76,-1818.33,-2522.94,-1250.94
2026-02-04,-3443.79,-3651.23,-1347.08,-1764.08
2026-02-05,-6116.60,-6261.58,-2985.76,-997.66
