seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
12,1,2024-07-26 13:00:00,2024-08-01 15:00:00,41,1051,2024-07-29 10:00:00,24902.9,63.14080377820238,161.4499999999971,128.3000000000029,TREND_CONTINUED,151.34999999999854,280.59999999999854,0.8539808391146432
12,1,2024-07-26 13:00:00,2024-08-01 15:00:00,41,1055,2024-07-29 12:00:00,24868.5,67.61472948263513,195.84999999999854,93.90000000000146,TREND_CONTINUED,216.0,280.59999999999854,0.29907407407406733
12,1,2024-07-26 13:00:00,2024-08-01 15:00:00,41,1075,2024-08-01 10:00:00,25021.65,54.772323086075666,19.549999999999272,65.25,CST_CORRECT,280.59999999999854,280.59999999999854,0.0
13,-1,2024-08-02 14:30:00,2024-08-12 10:30:00,53,1099,2024-08-05 10:00:00,24273.0,75.01152938181005,379.2999999999993,146.75,TREND_CONTINUED,538.6500000000015,837.4500000000007,0.5547201336674993
13,-1,2024-08-02 14:30:00,2024-08-12 10:30:00,53,1103,2024-08-05 12:00:00,24013.45,86.9571369495715,96.75,406.2999999999993,CST_CORRECT,837.4500000000007,837.4500000000007,0.0
13,-1,2024-08-02 14:30:00,2024-08-12 10:30:00,53,1105,2024-08-05 13:00:00,24048.55,89.7279019950762,88.14999999999782,371.2000000000007,CST_CORRECT,837.4500000000007,837.4500000000007,0.0
13,-1,2024-08-02 14:30:00,2024-08-12 10:30:00,53,1110,2024-08-06 09:30:00,24339.95,100.35550200258125,379.5499999999993,79.79999999999927,TREND_CONTINUED,837.4500000000007,837.4500000000007,0.0
13,-1,2024-08-02 14:30:00,2024-08-12 10:30:00,53,1122,2024-08-08 09:30:00,24205.4,100.84248478528136,125.70000000000073,214.34999999999854,CST_CORRECT,837.4500000000007,837.4500000000007,0.0
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1194,2024-08-19 09:30:00,24585.25,62.6211567081163,736.75,62.29999999999927,TREND_CONTINUED,144.15000000000146,840.2000000000007,4.828650711064809
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1199,2024-08-19 12:00:00,24556.6,59.042920538931845,765.4000000000015,12.75,TREND_CONTINUED,144.15000000000146,840.2000000000007,4.828650711064809
