,nav
2011-12-26,3536255.75
2011-12-27,3538933.75
2011-12-28,3534295.0
2011-12-29,3530272.0
2011-12-30,3531120.5
2012-01-02,3512879.25
2012-01-03,3517594.5
2012-01-04,3511573.0
2012-01-05,3513857.5
2012-01-06,3514617.75
2012-01-07,3515279.25
2012-01-09,3516168.5
2012-01-10,3519443.75
2012-01-11,3514720.0
2012-01-12,3517193.75
2012-01-13,3521330.5
2012-01-16,3520983.0
2012-01-17,3525674.5
2012-01-18,3526901.5
2012-01-19,3530969.5
2012-01-20,3534404.25
2012-01-23,3535997.5
2012-01-24,3536541.75
2012-01-25,3541531.0
2012-01-27,3540234.25
2012-01-30,3533027.25
2012-01-31,3552423.25
2012-02-01,3559009.0
2012-02-02,3572791.25
2012-02-03,3573025.75
2012-02-06,3600352.25
2012-02-07,3596666.25
2012-02-08,3606202.75
2012-02-09,3611305.5
2012-02-10,3586989.5
2012-02-13,3594813.5
2012-02-14,3594872.0
2012-02-15,3640987.75
2012-02-16,3616773.25
2012-02-17,3610090.0
2012-02-21,3635014.5
2012-02-22,3548971.5
2012-02-23,3554570.75
2012-02-24,3522165.5
2012-02-27,3480543.5
2012-02-28,3542928.5
2012-02-29,3564448.5
2012-03-01,3556662.5
2012-03-02,3551129.75
2012-03-03,3551301.0
2012-03-05,3490893.25
2012-03-06,3496706.0
2012-03-07,3519351.0
2012-03-09,3589177.0
2012-03-12,3610880.25
2012-03-13,3639399.5
2012-03-14,3612079.75
2012-03-15,3574084.0
2012-03-16,3552976.0
2012-03-19,3541498.25
2012-03-20,3599574.0
2012-03-21,3700875.0
2012-03-22,3620158.0
2012-03-23,3645861.5
2012-03-26,3586678.75
2012-03-27,3581217.5
2012-03-28,3548607.25
2012-03-29,3566082.0
2012-03-30,3637160.25
2012-04-02,3704874.25
2012-04-03,3730941.25
2012-04-04,3748368.25
2012-04-09,3738672.25
2012-04-10,3738629.5
2012-04-11,3694135.75
2012-04-12,3731521.75
2012-04-13,3690330.5
2012-04-16,3718399.75
2012-04-17,3742736.0
2012-04-18,3800556.0
2012-04-19,3811207.0
2012-04-20,3796210.25
2012-04-23,3764498.5
2012-04-24,3740430.5
2012-04-25,3758472.5
2012-04-26,3726381.5
2012-04-27,3735103.25
2012-04-28,3735169.25
2012-04-30,3787342.75
2012-05-02,3810646.25
2012-05-03,3789037.5
2012-05-04,3682472.0
2012-05-07,3676918.5
2012-05-08,3628126.25
2012-05-09,3590277.25
2012-05-10,3609224.0
2012-05-11,3578374.0
2012-05-14,3545144.5
2012-05-15,3545086.0
2012-05-16,3545053.25
2012-05-17,3535764.75
2012-05-18,3529873.5
2012-05-21,3536881.25
2012-05-22,3552609.75
2012-05-23,3602368.0
2012-05-24,3603317.25
2012-05-25,3616052.0
2012-05-28,3682847.25
2012-05-29,3670852.0
2012-05-30,3617247.5
2012-05-31,3650339.5
2012-06-01,3598694.5
2012-06-04,3576596.0
2012-06-05,3620694.5
2012-06-06,3623127.75
2012-06-07,3637027.5
2012-06-08,3639204.25
2012-06-11,3612644.5
2012-06-12,3634502.25
2012-06-13,3620292.0
2012-06-14,3588291.75
2012-06-15,3601233.5
2012-06-18,3579790.5
2012-06-19,3602707.75
2012-06-20,3616238.25
2012-06-21,3617998.25
2012-06-22,3602832.5
2012-06-25,3616323.0
2012-06-26,3622279.5
2012-06-27,3639016.5
2012-06-28,3655171.25
2012-06-29,3690461.0
2012-07-02,3709449.25
2012-07-03,3715108.0
2012-07-04,3707973.75
2012-07-05,3719716.0
2012-07-06,3697980.5
2012-07-09,3707721.5
2012-07-10,3729594.0
2012-07-11,3729238.0
2012-07-12,3716524.5
2012-07-13,3719117.0
2012-07-16,3711225.0
2012-07-17,3709615.75
2012-07-18,3730240.5
2012-07-19,3748099.0
2012-07-20,3768682.0
2012-07-23,3756820.75
2012-07-24,3791952.5
2012-07-25,3795383.75
2012-07-26,3749726.0
2012-07-27,3737891.75
2012-07-30,3758814.75
2012-07-31,3758002.5
2012-08-01,3787053.5
2012-08-02,3793745.5
2012-08-03,3808145.25
