,mq,kc6,combined
2023-08-31,8649642.26154838,4460807.668026215,13110449.929574594
2023-09-01,8714566.561548978,4447913.306551591,13162479.868100569
2023-09-04,8759663.11155077,4458612.9928131215,13218276.104363892
2023-09-05,8786071.951551367,4468679.509812175,13254751.461363543
2023-09-06,8787991.221551966,4469536.516841454,13257527.73839342
2023-09-07,8853756.501552563,4470393.688228246,13324150.189780809
2023-09-08,9043698.531553162,4471251.024004071,13514949.555557232
2023-09-11,9126344.461554956,4471435.919078415,13597780.380633371
2023-09-12,8783953.891555555,4475419.474271116,13259373.36582667
2023-09-13,8811224.111556154,4496006.482300243,13307230.593856398
2023-09-14,8880785.161556752,4496868.730118766,13377653.891675519
2023-09-15,8886169.37155735,4497731.143299885,13383900.514857234
2023-09-18,8864464.74155915,4498593.721875313,13363058.463434462
2023-09-20,8809180.31156035,4498779.7476243,13307960.05918465
2023-09-21,8762347.821560945,4503886.483369707,13266234.304930653
2023-09-22,8776523.561561545,4514902.5896704905,13291426.151232036
2023-09-25,8801429.941563345,4511085.057591797,13312514.999155141
2023-09-26,8839085.491563946,4518573.653083978,13357659.144647924
2023-09-27,8936915.381564545,4521297.243528274,13458212.62509282
2023-09-28,8885371.911565147,4526795.191410196,13412167.102975342
2023-09-29,8955340.431565747,4527663.343912658,13483003.775478404
2023-10-03,9027829.041568149,4528531.6629101215,13556360.704478271
2023-10-04,8888596.991568752,4529400.148434515,13417997.140003268
2023-10-05,8857931.481569352,4529587.448090179,13387518.92965953
2023-10-06,8921711.811569951,4541870.95482132,13463582.766391272
2023-10-09,8797556.761571756,4540744.930943104,13338301.69251486
2023-10-10,8945112.211572357,4552890.406017298,13498002.617589654
2023-10-11,8974229.60157296,4560550.254194192,13534779.855767153
2023-10-12,9042466.051573558,4557204.20305664,13599670.254630197
2023-10-13,9066175.691574162,4550669.602936678,13616845.29451084
2023-10-16,9111761.901575966,4542363.653863268,13654125.555439234
2023-10-17,9144873.321576571,4549115.60586538,13693988.92744195
2023-10-18,9072743.141577171,4552014.821254525,13624757.962831696
2023-10-19,9090727.111577777,4539146.223527095,13629873.335104872
2023-10-20,8988608.901578378,4496417.327641861,13485026.229220238
2023-10-23,8758201.611580186,4450191.604511811,13208393.216091998
2023-10-25,8664210.89158139,4488542.759644522,13152753.651225913
2023-10-26,8592054.641581994,4468900.199572507,13060954.8411545
2023-10-27,8736178.001582596,4547198.706518173,13283376.70810077
2023-10-30,8750170.631584408,4564909.670784693,13315080.302369101
2023-10-31,8758588.71158501,4567275.516694159,13325864.22827917
2023-11-01,8681375.106556926,4568182.9518308425,13249558.058387768
2023-11-02,8832930.086557526,4573035.839932564,13405965.92649009
2023-11-03,8918666.506558133,4575582.950917375,13494249.45747551
2023-11-06,9030496.246559948,4576460.459976455,13606956.706536403
