assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
IND20,MOMSKIP189,3m,half2,115,0.0991,3.15,62.6,29.87,24.01,22.51,7.37,True
IND20,MOMSKIP252,1m,full,223,0.0751,3.13,59.2,25.75,21.66,20.43,5.32,True
IND20,MOMSKIP252,1m,half1,106,0.0862,2.34,60.4,22.48,19.64,19.23,3.26,True
IND20,MOMSKIP252,1m,half2,117,0.065,2.08,58.1,28.7,23.49,21.53,7.18,True
IND20,MOMSKIP252,3m,full,221,0.0886,3.69,60.6,26.45,24.55,21.63,4.82,True
IND20,MOMSKIP252,3m,half1,106,0.0902,2.5,60.4,23.08,24.33,21.15,1.93,False
IND20,MOMSKIP252,3m,half2,115,0.0872,2.72,60.9,29.55,24.76,22.08,7.48,True
IND20,RISKADJ63,1m,full,232,0.096,4.99,63.4,31.22,21.01,17.74,13.48,True
IND20,RISKADJ63,1m,half1,115,0.1413,5.1,67.8,33.24,19.48,13.43,19.81,True
IND20,RISKADJ63,1m,half2,117,0.0515,1.96,59.0,29.23,22.52,21.97,7.26,True
IND20,RISKADJ63,3m,full,230,0.1426,7.67,69.6,30.91,23.64,19.06,11.84,True
IND20,RISKADJ63,3m,half1,115,0.1963,7.5,73.9,32.65,22.19,15.98,16.67,True
IND20,RISKADJ63,3m,half2,115,0.0889,3.48,65.2,29.16,25.08,22.14,7.02,True
IND20,RISKADJ126,1m,full,229,0.1105,5.59,65.5,30.63,21.11,16.64,13.99,True
IND20,RISKADJ126,1m,half1,112,0.1676,5.75,69.6,31.69,20.68,10.41,21.28,True
IND20,RISKADJ126,1m,half2,117,0.0559,2.15,61.5,29.61,21.51,22.6,7.0,False
IND20,RISKADJ126,3m,full,227,0.1674,8.48,70.5,30.99,23.19,18.33,12.66,True
IND20,RISKADJ126,3m,half1,112,0.2278,7.62,74.1,32.89,21.45,14.21,18.68,True
IND20,RISKADJ126,3m,half2,115,0.1086,4.38,67.0,29.15,24.89,22.35,6.8,True
IND20,RISKADJ252,1m,full,223,0.1038,4.53,63.7,28.37,20.84,18.42,9.94,True
IND20,RISKADJ252,1m,half1,106,0.1288,3.65,67.9,25.88,19.2,15.82,10.05,True
IND20,RISKADJ252,1m,half2,117,0.0811,2.72,59.8,30.62,22.32,20.78,9.84,True
IND20,RISKADJ252,3m,full,221,0.1426,6.45,68.3,28.42,23.79,20.33,8.09,True
IND20,RISKADJ252,3m,half1,106,0.1733,5.1,68.9,27.47,21.89,18.98,8.49,True
IND20,RISKADJ252,3m,half2,115,0.1143,4.0,67.8,29.29,25.53,21.57,7.72,True
IND20,TSVOTE,1m,full,203,0.0733,3.47,61.1,18.43,18.52,13.01,5.41,False
IND20,TSVOTE,1m,half1,106,0.1196,3.97,66.0,25.99,12.87,13.88,12.11,False
IND20,TSVOTE,1m,half2,97,0.0228,0.79,55.7,10.65,23.72,12.09,-1.44,False
IND20,TSVOTE,3m,full,201,0.111,5.77,67.2,22.63,21.75,13.66,8.96,True
IND20,TSVOTE,3m,half1,106,0.1552,5.58,70.8,30.97,16.15,13.79,17.17,True
IND20,TSVOTE,3m,half2,95,0.0617,2.41,63.2,13.8,27.01,13.52,0.28,False
IND20,DISTHIGH126,1m,full,232,0.0674,3.19,59.9,27.92,21.69,21.03,6.88,True
IND20,DISTHIGH126,1m,half1,115,0.1019,3.11,64.3,30.78,21.06,17.51,13.27,True
IND20,DISTHIGH126,1m,half2,117,0.0335,1.26,55.6,25.1,22.31,24.5,0.6,False
IND20,DISTHIGH126,3m,full,230,0.1225,5.97,69.1,27.41,23.9,21.65,5.76,True
IND20,DISTHIGH126,3m,half1,115,0.1778,5.81,76.5,28.68,23.19,19.17,9.51,True
IND20,DISTHIGH126,3m,half2,115,0.0673,2.54,61.7,26.14,24.62,24.12,2.02,True
IND20,DISTHIGH252,1m,full,229,0.083,3.68,62.4,27.34,23.22,19.19,8.15,True
IND20,DISTHIGH252,1m,half1,112,0.1163,3.27,69.6,28.74,22.34,15.3,13.44,True
