symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
INDOTECH,2024-11-04,2025-02-03,2215.0,2466.15,1775,rebalance_out,91,10.78
GOKULAGRO,2024-11-04,2025-02-03,142.02,157.35,29346,rebalance_out,91,10.24
TEMBO,2024-12-03,2025-02-03,721.13,643.02,6267,rebalance_out,62,-11.28
JSLL,2024-12-03,2025-02-03,412.8,362.0,12359,rebalance_out,62,-12.74
BBOX,2024-12-03,2025-02-03,675.35,510.25,2411,rebalance_out,62,-24.82
ZENTEC,2025-01-02,2025-02-03,2484.05,1785.0,2016,rebalance_out,32,-28.5
DYCL,2025-01-02,2025-02-03,498.23,390.84,6917,rebalance_out,32,-21.95
PGIL,2025-01-02,2025-02-03,1499.0,1330.0,1553,rebalance_out,32,-11.72
GOLDIAM,2025-02-03,2025-03-04,389.25,265.4,6809,rebalance_out,29,-32.16
POKARNA,2025-02-03,2025-03-04,1344.05,1062.25,2059,rebalance_out,29,-21.36
ASHAPURMIN,2025-02-03,2025-03-04,491.05,328.95,5730,rebalance_out,29,-33.35
AEROFLEX,2025-02-03,2025-03-04,245.64,157.77,11491,rebalance_out,29,-36.09
ARIHANTSUP,2025-02-03,2025-03-04,501.02,395.26,8518,rebalance_out,29,-21.5
VIJAYA,2025-02-03,2025-03-04,1074.04,930.78,3479,rebalance_out,29,-13.77
LTFOODS,2025-02-03,2025-03-04,385.3,327.9,11825,rebalance_out,29,-15.32
WELENT,2025-02-03,2025-03-04,596.15,413.35,8360,rebalance_out,29,-31.01
DPABHUSHAN,2025-02-03,2025-03-04,1625.0,1305.45,1629,rebalance_out,29,-20.07
BLUESTARCO,2025-03-04,2025-04-02,2000.0,2088.2,895,rebalance_out,29,3.89
REDINGTON,2025-03-04,2025-04-02,230.0,232.2,6907,rebalance_out,29,0.45
CHOLAFIN,2025-03-04,2025-04-02,1414.8,1471.0,1630,rebalance_out,29,3.45
