date,long_baseline,long_volspike,long_htf,long_confluence,contra_baseline,contra_volspike,contra_htf,contra_confluence
2025-05-19,-1329.23,-1087.88,-212.66,-1087.88,-1319.81,-1088.84,882.43,0.00
2025-05-20,-3148.51,-1028.84,0.00,0.00,-3145.81,-1027.97,-3145.81,0.00
2025-05-22,-939.15,0.00,0.00,0.00,532.77,0.00,532.77,0.00
2025-05-23,-1680.94,-411.58,-1680.94,-411.58,700.47,-488.14,0.00,0.00
2025-05-26,-5736.67,-5415.45,-1788.73,-1788.73,-2759.80,-2181.78,-970.94,0.00
2025-05-27,1228.21,0.00,1648.96,0.00,-4218.89,0.00,-2046.44,0.00
2025-06-02,583.46,988.75,470.46,0.00,-3504.11,-3025.68,-2599.73,0.00
2025-06-03,-3377.49,-1059.10,-2118.51,199.88,193.62,6.12,1173.35,0.00
2025-06-04,-3242.91,0.00,-1011.38,0.00,-2729.84,0.00,-2233.53,0.00
2025-06-05,1780.43,1780.43,1780.43,1780.43,-2909.56,-2909.56,0.00,0.00
2025-06-09,-1886.21,-775.55,-1110.66,0.00,-1379.87,-268.22,-268.22,0.00
2025-06-10,-970.86,-970.86,-970.86,-970.86,29.87,29.87,-756.78,0.00
2025-06-11,-1615.01,-1877.00,-620.14,-882.14,-2683.01,-1876.83,-994.04,0.00
2025-06-12,-3981.58,-1053.38,-1858.21,0.00,-3978.30,-1052.47,-2121.53,0.00
2025-06-17,-167.99,-167.99,0.00,0.00,-2422.24,-2422.24,-2422.24,-781.70
2025-06-19,-6848.31,-739.75,-5031.71,-956.27,-1498.26,-1734.22,-741.38,0.00
2025-06-20,-3157.66,76.42,-812.68,1289.26,-3711.00,-2534.01,-287.22,0.00
2025-06-23,-1887.62,-3037.97,-1571.17,-1571.17,-5404.42,-2558.20,-3642.13,0.00
2025-06-24,136.81,-362.33,0.00,0.00,-3047.41,-2123.67,-3047.41,0.00
2025-06-25,-2946.22,-1974.98,-1974.98,-1974.98,613.25,19.33,-294.80,0.00
2025-06-26,-1245.91,-310.72,0.00,0.00,-1436.96,-502.49,-1436.96,0.00
2025-06-27,-519.90,0.00,-1098.74,0.00,-2063.02,0.00,-963.31,0.00
2025-07-01,-381.97,543.57,0.00,0.00,-1870.13,-945.30,-1870.13,0.00
2025-07-02,-1820.49,-1005.26,0.00,0.00,-155.68,659.00,-155.68,0.00
2025-07-03,-948.88,-948.88,0.00,0.00,549.87,549.87,549.87,0.00
2025-07-04,-704.82,496.76,809.08,496.76,-3069.27,-922.58,-188.83,0.00
2025-07-07,-3945.21,-921.20,-1768.43,-921.20,1008.93,494.89,168.56,0.00
2025-07-09,-1172.21,0.00,-775.99,0.00,-1883.29,0.00,-1107.80,0.00
2025-07-10,-274.58,-534.03,0.00,0.00,-1167.10,-364.63,-1167.10,0.00
2025-07-11,460.49,601.83,779.96,779.96,-2912.37,-2267.83,-1848.38,-1203.84
2025-07-14,-1833.28,0.00,-1365.87,0.00,-4618.24,0.00,-3253.07,0.00
2025-07-15,-1485.76,-1903.26,0.00,0.00,-1455.72,-572.77,-1455.72,0.00
2025-07-17,-1897.14,-1897.14,-939.95,-939.95,-418.86,-418.86,-956.43,0.00
2025-07-18,-3163.25,-2150.94,0.00,0.00,-1944.11,33.57,-1944.11,-974.96
2025-07-22,-1079.09,-216.25,-216.25,-216.25,-1218.25,-354.79,-863.46,0.00
2025-07-23,266.97,-235.65,527.61,527.61,-1644.04,-719.18,-705.07,0.00
2025-07-25,1080.62,0.00,1080.62,0.00,-2161.26,0.00,0.00,0.00
2025-07-28,39.98,39.98,39.98,39.98,-2362.19,-2362.19,0.00,0.00
2025-07-29,-2054.00,109.33,-1022.82,0.00,-676.20,-2100.44,-1169.31,0.00
2025-07-30,-814.19,0.00,-814.19,0.00,79.24,0.00,0.00,0.00
2025-07-31,-2103.53,-1047.17,0.00,0.00,-2103.52,-1048.07,-2103.52,0.00
2025-08-04,1130.78,905.20,905.20,905.20,-4169.58,-1127.55,-3042.03,0.00
2025-08-05,-35.11,0.00,308.05,0.00,-4080.14,0.00,-730.76,0.00
2025-08-06,-1272.75,-1272.75,0.00,0.00,271.95,271.95,271.95,271.95
2025-08-07,-1455.16,572.67,-965.28,0.00,-2350.01,-959.21,-2020.85,0.00
2025-08-08,-1889.76,-1878.16,-711.68,-1873.62,-2397.79,-240.37,-2426.65,-311.53
2025-08-11,-899.05,408.29,0.00,0.00,401.19,-867.02,401.19,0.00
2025-08-12,-2073.74,-1080.90,0.00,0.00,-439.05,-1081.84,-439.05,0.00
2025-08-13,-3488.57,0.00,-2589.97,0.00,252.14,0.00,-897.92,0.00
2025-08-14,1406.85,136.54,1042.25,399.25,-4607.20,-2620.71,-2735.85,0.00
2025-08-18,-903.25,-903.25,-903.25,-903.25,-902.57,-902.57,0.00,0.00
2025-08-19,-892.07,0.00,-892.07,0.00,444.78,0.00,0.00,0.00
2025-08-21,68.67,0.00,0.00,0.00,-704.58,0.00,-704.58,0.00
2025-08-26,-2462.45,0.00,-2462.45,0.00,-1699.55,0.00,0.00,0.00
