variant,symbol,date,direction,or_high,or_low,entry_time,entry,stop,target,qty,rsi_at_entry,vwap_at_entry,gap_pct,exit_time,exit_price,exit_reason,trailed,gross_pnl,cost,net_pnl
target_2.0R,BAJAJFINSV,2024-09-05,LONG,1871.75,1862.10,2024-09-05T09:50:00,1872.00,1862.10,1891.80,26,50.54,1867.62,-0.0021,2024-09-05T10:30:00,1862.10,STOP,0,-257.40,242.72,-500.12
target_2.0R,ADANIPORTS,2024-09-05,SHORT,1476.80,1467.00,2024-09-05T10:25:00,1465.40,1476.80,1442.60,34,47.41,1470.66,0.0032,2024-09-05T15:20:00,1465.55,EOD,0,-5.10,249.13,-254.23
target_2.0R,BAJAJ-AUTO,2024-09-05,SHORT,10743.50,10680.50,2024-09-05T10:30:00,10672.00,10636.25,10529.00,4,64.39,10703.95,0.0,2024-09-05T15:20:00,10583.50,EOD,1,354.00,212.56,141.44
target_2.0R,ASIANPAINT,2024-09-05,LONG,3250.00,3217.00,2024-09-05T12:30:00,3251.75,3217.00,3321.25,15,64.86,3236.37,0.0026,2024-09-05T15:20:00,3237.40,EOD,0,-215.25,243.34,-458.59
target_2.0R,AMBUJACEM,2024-09-05,LONG,633.65,627.40,2024-09-05T13:10:00,633.70,627.40,646.30,78,61.16,632.57,0.003,2024-09-05T15:20:00,631.70,EOD,0,-156.00,246.75,-402.75
target_2.0R,ADANIPORTS,2024-09-06,SHORT,1468.75,1459.00,2024-09-06T09:45:00,1457.65,1468.75,1435.45,34,73.53,1461.63,0.0,2024-09-06T11:00:00,1435.45,TARGET,0,754.80,245.91,508.89
target_2.0R,AMBUJACEM,2024-09-06,SHORT,631.00,626.00,2024-09-06T09:50:00,624.60,631.00,611.80,80,53.18,627.89,-0.0077,2024-09-06T15:20:00,623.95,EOD,0,52.00,249.71,-197.71
target_2.0R,ASIANPAINT,2024-09-06,SHORT,3268.85,3237.10,2024-09-06T10:05:00,3231.90,3268.85,3158.00,15,71.73,3251.72,-0.0001,2024-09-06T12:20:00,3268.85,STOP,0,-554.25,243.78,-798.03
target_2.0R,BAJAJ-AUTO,2024-09-06,SHORT,10644.00,10565.00,2024-09-06T10:30:00,10547.00,10644.00,10353.00,4,51.25,10589.4,0.0,2024-09-06T15:20:00,10556.50,EOD,0,-38.00,211.03,-249.03
target_2.0R,BAJAJFINSV,2024-09-06,SHORT,1898.00,1861.00,2024-09-06T12:35:00,1859.60,1840.40,1782.80,26,48.87,1873.19,-0.0005,2024-09-06T14:25:00,1840.40,TRAIL,1,499.20,240.50,258.70
target_2.0R,BAJAJFINSV,2024-09-09,SHORT,1873.75,1853.75,2024-09-09T10:05:00,1846.50,1873.75,1792.00,27,69.2,1861.0,0.0015,2024-09-09T15:20:00,1861.70,EOD,0,-410.40,250.30,-660.70
target_2.0R,ADANIPORTS,2024-09-09,LONG,1434.60,1411.00,2024-09-09T10:40:00,1438.00,1411.00,1492.00,34,61.42,1422.12,-0.0079,2024-09-09T15:20:00,1439.70,EOD,0,57.80,244.60,-186.80
target_2.0R,AMBUJACEM,2024-09-09,LONG,622.90,614.75,2024-09-09T11:10:00,623.00,627.12,639.50,80,49.31,619.8,-0.0006,2024-09-09T14:40:00,627.12,TRAIL,1,330.00,250.03,79.97
target_2.0R,ASIANPAINT,2024-09-09,SHORT,3308.90,3273.00,2024-09-09T11:15:00,3271.00,3308.90,3195.20,15,57.07,3289.02,0.0,2024-09-09T15:20:00,3281.65,EOD,0,-159.75,245.72,-405.47
target_2.0R,BAJAJ-AUTO,2024-09-09,SHORT,10633.00,10525.50,2024-09-09T12:05:00,10519.50,10633.00,10292.50,4,30.56,10559.98,0.0,2024-09-09T15:20:00,10582.00,EOD,0,-250.00,211.02,-461.01
