book,venue,day,dte_trd,cfg,entry_hm,win_end,sl_shape,qty,lots,mode,mgmt,k_actual,k_fwd,misstrike,steps_off,fwd,spot_rec,booked_credit,booked_exit,booked_reason,booked_exit_ts,booked_pnl,rep_a_credit,rep_a_exit,rep_a_reason,rep_a_exit_hm,rep_a_gross,rep_a_net,rep_f_credit,rep_f_exit,rep_f_reason,rep_f_exit_hm,rep_f_gross,rep_f_net,delta_net,dwell_mode
CSL_TIMEB_SENSEX,SENSEX,2026-08-19,1,10:30->12:00 SL20,10:30,12:00,20,160,8,REAL,,76900,77000,1,1,77014.3,76935.64,441.62,439.19,TIME_EXIT,12:00:09,229,441.4,435.6,TIME,12:00,928,664,431.35,419.35,TIME,12:00,1920,1659,995,DWELL2
CSL30F_NIFTY,NIFTY,2026-08-19,4,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24100,24150,1,1,24145.3,24120.3,262.3,234.15,TIME_EXIT,15:20:00,3500,262.5,234.15,TIME,15:20,3686,3558,258.6,235.15,TIME,15:20,3049,2922,-636,DWELL2
CSL30F_SENSEX,SENSEX,2026-08-19,1,09:16->15:20 SL30,09:16,15:20,30,60,3,PAPER,,77100,77200,1,1,77164.8,77141.55,468.8,397.75,TIME_EXIT,15:20:00,4103,465.9,395.95,TIME,15:20,4197,4097,464.65,424.75,TIME,15:20,2394,2293,-1804,DWELL2
NAS_C20_TRAIL,NIFTY,2026-08-19,4,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,trail,24100,24150,1,1,24145.3,24120.3,262.75,234.15,TIME_EXIT,15:20:00,3558,262.5,234.15,TIME,15:20,3686,3558,258.6,235.15,TIME,15:20,3049,2922,-636,DWELL2
NAS_C20_SHIFT,NIFTY,2026-08-19,4,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24100,24150,1,1,24145.3,24120.3,262.75,234.15,TIME_EXIT,15:20:00,3558,262.5,234.15,TIME,15:20,3686,3558,258.6,235.15,TIME,15:20,3049,2922,-636,DWELL2
CSL_TIMEB_SENSEX,SENSEX,2026-08-20,0,13:00->15:20 SLnone,13:00,15:20,none,160,8,REAL,,77600,77600,0,0,77572.65,77521.99,173.79,144.45,TIME_EXIT,15:20:00,4534,173.55,142.5,TIME,15:20,4968,4786,173.55,142.5,TIME,15:20,4968,4786,0,DWELL2
NAS_COMB20,NIFTY,2026-08-20,3,09:16->15:20 SL20,09:16,15:20,20,325,5,REAL,,24200,24250,1,1,24258.7,24213.45,207.75,208.45,TIME_EXIT,15:20:00,-387,210.2,208.7,TIME,15:20,487,197,206.75,193.0,TIME,15:20,4469,4182,3985,DWELL2
CSL30F_NIFTY,NIFTY,2026-08-20,3,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24200,24250,1,1,24258.7,24213.45,211.25,208.45,TIME_EXIT,15:20:00,204,210.2,208.7,TIME,15:20,195,79,206.75,193.0,TIME,15:20,1788,1673,1594,DWELL2
CSL30F_SENSEX,SENSEX,2026-08-20,0,09:16->15:20 SL30,09:16,15:20,30,60,3,PAPER,,77500,77500,0,0,77472.65,77465.68,267.3,123.25,TIME_EXIT,15:20:00,8483,271.15,123.1,TIME,15:20,8883,8807,271.15,123.1,TIME,15:20,8883,8807,0,DWELL2
NAS_C20_TRAIL,NIFTY,2026-08-20,3,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,trail,24200,24250,1,1,24258.7,24213.45,211.35,208.45,TIME_EXIT,15:20:00,217,210.2,208.7,TIME,15:20,195,79,206.75,193.0,TIME,15:20,1788,1673,1594,DWELL2
NAS_C20_SHIFT,NIFTY,2026-08-20,3,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24200,24250,1,1,24258.7,24213.45,211.35,208.45,TIME_EXIT,15:20:00,217,210.2,208.7,TIME,15:20,195,79,206.75,193.0,TIME,15:20,1788,1673,1594,DWELL2
CSL_TIMEB_NIFTY,NIFTY,2026-08-21,2,10:00->12:00 SL20,10:00,12:00,20,520,8,REAL,,24250,24300,1,1,24295.4,24246.9,175.13,168.29,TIME_EXIT,12:00:05,3399,175.8,168.65,TIME,12:00,3718,3288,169.4,163.35,TIME,12:00,3146,2722,-566,DWELL2
NAS_COMB20,NIFTY,2026-08-21,2,09:16->15:20 SL30,09:16,15:20,30,130,2,REAL,,24250,24300,1,1,24307.35,24261.15,184.2,163.7,TIME_EXIT,15:20:03,2505,179.45,162.95,TIME,15:20,2145,2037,170.35,157.75,TIME,15:20,1638,1532,-505,DWELL2
CSL30F_NIFTY,NIFTY,2026-08-21,2,09:16->15:20 SL40,09:16,15:20,40,130,2,PAPER,,24250,24300,1,1,24307.35,24261.15,179.45,163.7,TIME_EXIT,15:20:03,1888,179.45,162.95,TIME,15:20,2145,2037,170.35,157.75,TIME,15:20,1638,1532,-505,DWELL2
CSL30F_SENSEX,SENSEX,2026-08-21,4,09:16->15:20 SL25,09:16,15:20,25,60,3,PAPER,,77600,77800,1,2,77793.15,77593.11,815.55,753.55,TIME_EXIT,15:20:03,3560,809.55,750.1,TIME,15:20,3567,3428,783.3,737.9,TIME,15:20,2724,2588,-840,DWELL2
NAS_C20_TRAIL,NIFTY,2026-08-21,2,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,trail,24250,24300,1,1,24307.35,24261.15,179.45,163.7,TIME_EXIT,15:20:03,1888,179.45,162.95,TIME,15:20,2145,2037,170.35,157.75,TIME,15:20,1638,1532,-505,DWELL2
NAS_C20_SHIFT,NIFTY,2026-08-21,2,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24250,24300,1,1,24307.35,24261.15,179.45,163.7,TIME_EXIT,15:20:03,1888,179.45,162.95,TIME,15:20,2145,2037,170.35,157.75,TIME,15:20,1638,1532,-505,DWELL2
NAS_COMB20,NIFTY,2026-08-24,1,09:16->15:20 SL30,09:16,15:20,30,130,2,REAL,,24300,24350,1,1,24335.75,24297.35,125.25,161.7,SL_DWELL,11:37:00,-4899,124.85,164.3,SL,13:08,-5129,-6883,118.5,159.65,SL,11:14,-5350,-7102,-220,DWELL2
CSL30F_NIFTY,NIFTY,2026-08-24,1,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24350,1,1,24335.75,24297.35,125.85,163.05,SL_DWELL,11:37:00,-4996,124.85,164.3,SL,13:08,-5129,-6883,118.5,159.65,SL,11:14,-5350,-7102,-220,DWELL2
