symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
GLENMARK,compression,short,442,113,0.3274,0.7352,-0.3803,0.941,6.012,-0.423,-1.7
GMDCLTD,compression,long,442,198,0.2424,0.9286,-0.3894,0.763,15.045,-1.92,-13.84
GMDCLTD,compression,short,442,116,0.3966,0.8745,-0.395,1.455,6.493,2.677,12.58
GNFC,compression,long,442,297,0.2997,0.7481,-0.3777,0.848,12.29,-1.15,-11.97
GNFC,compression,short,442,124,0.3548,0.6165,-0.3633,0.933,7.785,-0.473,-1.94
GODFRYPHLP,compression,long,442,198,0.3384,0.962,-0.3877,1.269,6.453,1.688,13.67
GODFRYPHLP,compression,short,442,65,0.3385,0.8992,-0.4,1.15,2.41,0.994,2.58
GODREJAGRO,compression,long,442,277,0.2347,0.8296,-0.3959,0.643,29.75,-3.157,-30.0
GODREJAGRO,compression,short,442,123,0.3171,0.8762,-0.3857,1.055,4.83,0.373,1.77
GODREJCP,compression,long,442,332,0.3373,0.7138,-0.3843,0.946,14.846,-0.39,-4.59
GODREJCP,compression,short,442,115,0.2609,0.6041,-0.3737,0.571,13.601,-3.951,-13.64
GODREJIND,compression,long,442,276,0.3007,0.8583,-0.3941,0.936,12.972,-0.464,-4.83
GODREJIND,compression,short,442,104,0.3942,0.7749,-0.3823,1.319,5.709,1.919,7.68
GPPL,compression,long,442,224,0.2411,0.7941,-0.3849,0.655,24.166,-2.989,-22.56
GPPL,compression,short,442,113,0.3628,0.6753,-0.3775,1.019,7.418,0.127,0.5
GRANULES,compression,long,442,289,0.3322,0.8109,-0.3944,1.023,9.457,0.159,1.73
GRANULES,compression,short,442,107,0.2897,0.8777,-0.3856,0.929,5.883,-0.525,-2.09
GRAPHITE,compression,long,442,227,0.2511,0.9494,-0.3964,0.803,21.426,-1.564,-13.27
GRAPHITE,compression,short,442,137,0.4088,0.8067,-0.3848,1.449,3.322,2.604,14.0
GRINDWELL,compression,long,442,297,0.2727,0.8108,-0.3862,0.787,26.542,-1.69,-17.74
